"GISJOIN","pct99_90","pct199_90","pct200_90","NHGISCODE","GJOIN2000","GJOIN2012","origGEOID"
"G42010100259",7.69370350208674,20.9762293594629,78.4975503538378,"G4201010025900","G4201010025900","G4201010025900","4210125900"
"G42010100260",8.13820673900628,16.1336379211879,82.8954882924043,"G4201010026000","G4201010026000","G4201010026000","4210126000"
"G42010100261",9.43134535367545,14.7572815533981,82.7739251040222,"G4201010026100","G4201010026100","G4201010026100","4210126100"
"G42010100262",5.8869093725794,14.4848954298993,83.5011618900078,"G4201010026200","G4201010026200","G4201010026200","4210126200"
"G42010100263",9.7145993413831,21.7435053055251,76.3995609220637,"G4201010026300","","","4210126300"
"G42010100264",5.27704485488127,16.1260282477107,81.4372186869471,"G4201010026400","G4201010026400","G4201010026400","4210126400"
"G42010100265",13.5327102803738,29.4953271028037,65.7570093457944,"G4201010026500","G4201010026500","G4201010026500","4210126500"
"G42010100266",11.8378812199037,26.5783841626538,70.4922418405564,"G4201010026600","G4201010026600","G4201010026600","4210126600"
"G42010100267",13.3427507384102,28.8301014511365,68.858353666367,"G4201010026700","G4201010026700","G4201010026700","4210126700"
"G42010100268",12.3590333716916,27.4568469505178,70.7249712313003,"G4201010026800","G4201010026800","G4201010026800","4210126800"
"G42010100269",8.13208477082306,27.8462296697881,69.6895022178413,"G4201010026900","G4201010026900","G4201010026900","4210126900"
"G42010100270",10.989010989011,14.3315018315018,84.7527472527473,"G4201010027000","G4201010027000","G4201010027000","4210127000"
"G42010100271",3.76786487656994,25.7687310524036,65.9159809441317,"G4201010027100","G4201010027100","G4201010027100","4210127100"
"G42010100272",6.01045296167247,17.8789198606272,79.48606271777,"G4201010027200","G4201010027200","G4201010027200","4210127200"
"G42010100273",12.7856365614799,27.221617700399,70.8560029017048,"G4201010027300","G4201010027300","G4201010027300","4210127300"
"G42010100274",12.7236787349147,33.3853516437786,63.0045776113192,"G4201010027400","G4201010027400","","4210127400"
"G42010100275",13.5454740915932,27.3059557084498,70.457966028811,"G4201010027500","G4201010027500","G4201010027500","4210127500"
"G42010100276",18.1882352941176,40.8705882352941,53.2235294117647,"G4201010027600","G4201010027600","G4201010027600","4210127600"
"G42010100277",17.3138852055314,37.6775904527373,57.5108922144345,"G4201010027700","G4201010027700","G4201010027700","4210127700"
"G42010100278",17.625762195122,34.375,60.7088414634146,"G4201010027800","G4201010027800","G4201010027800","4210127800"
"G42010100279",24.5218869528262,48.5337866553336,46.8621617792889,"G4201010027900","G4201010027900","","4210127900"
"G42010100280",30.9390125847047,44.1819941916747,53.9593417231365,"G4201010028000","G4201010028000","G4201010028000","4210128000"
"G42010100281",26.9668136458575,43.2582965885356,53.6087259224878,"G4201010028100","G4201010028100","G4201010028100","4210128100"
"G42010100282",21.4471726190476,43.9546130952381,52.641369047619,"G4201010028200","G4201010028200","G4201010028200","4210128200"
"G42010100283",26.9393835224017,50.0630228027959,48.8713188953821,"G4201010028300","G4201010028300","G4201010028300","4210128300"
"G42010100284",25.3910950661853,52.1574694859893,45.5389375966993,"G4201010028400","G4201010028400","G4201010028400","4210128400"
"G42010100285",15.6222418358341,31.1562224183583,59.135039717564,"G4201010028500","G4201010028500","G4201010028500","4210128500"
"G42010100286",30.019768426998,48.8138943801186,48.1078791301892,"G4201010028600","G4201010028600","G4201010028600","4210128600"
"G42010100287",27.3406766325728,44.7678992918961,54.6026750590087,"G4201010028700","G4201010028700","G4201010028700","4210128700"
"G42010100288",26.1136303014137,52.9741264337157,40.9709255801547,"G4201010028800","G4201010028800","G4201010028800","4210128800"
"G42010100289",23.685147809569,40.2231983853734,57.7229015790099,"G4201010028900","G4201010028900","","4210128900"
"G42010100290",8.11193765497698,30.605738575983,66.259298618491,"G4201010029000","G4201010029000","G4201010029000","4210129000"
"G42010100291",22.9991007194245,42.2661870503597,56.6321942446043,"G4201010029100","G4201010029100","G4201010029100","4210129100"
"G42010100292",12.3695596843981,28.6586917790786,68.4143547976584,"G4201010029200","G4201010029200","G4201010029200","4210129200"
"G42010100293",18.5198054204309,45.3092425295344,50.90340514246,"G4201010029300","G4201010029300","G4201010029300","4210129300"
"G42010100294",29.8854041013269,53.0759951749095,45.4764776839566,"G4201010029400","G4201010029400","G4201010029400","4210129400"
