GEOID,hous_d,li_d,nw_d,tot199_d,totnw_d,univ_d
34005702804,161.3,0.16547619047619047,0.8478260869565217,417,2145,2520
34005702805,164.6,0.2411674347158218,0.8236177132849637,942,3292,3906
34005702806,141.4,0.19580226456779895,0.8192837465564738,709,2974,3621
34005702807,148.8,0.23803604723430702,0.9017094017094017,766,2954,3218
34005702808,144.9,0.2736745326386761,0.8228623965675759,893,2685,3263
34005702809,111.7,0.2778335005015045,0.8410230692076228,554,1677,1994
34005702810,239,0.08171521035598706,0.9085760517799353,101,1123,1236
34005702811,194.9,0.15511982570806102,0.9116117850953206,356,2104,2295
34005702905,310.5,0.09804866297277764,0.18809980806142035,407,784,4151
34005702906,263.2,0.11579509071504802,0.1360078277886497,217,278,1874
34005702907,276.1,0.11443337024732374,0.12698412698412698,310,344,2709
34005702908,286.4,0.10241545893719807,0.16333894635554486,424,679,4140
34005702909,272.9,0.0835875533862111,0.3055936595031245,548,2005,6556
34005702910,457.1,0.12554194156456172,0.23355325164938737,666,1239,5305
34005702913,153.8,0.20475589225589225,0.3514309764309764,973,1670,4752
34005702914,307.6,0.16763814408953137,0.20750757752389834,719,890,4289
34005702915,225.6,0.1562057574327513,0.3671691003297221,662,1559,4238
34005702917,270.9,0.08410704533042053,0.23014586709886548,154,426,1831
34005702918,202.9,0.05253940455341506,0.37769994162288384,90,647,1713
34005703000,278.8,0.1301814549692026,0.2045043564030906,782,1244,6007
34005703102,506.4,0.04595997034840623,0.18458117123795403,124,498,2698
34005703103,219.1,0.22954005614338155,0.39670120532882214,1063,1876,4631
34005703104,278.8,0.16394813885403597,0.2808785009067096,784,1394,4782
34005703201,251.8,0.19994646680942185,0.09502141327623126,747,355,3736
34005703202,355.2,0.1830708661417323,0.09855862874951304,465,253,2540
34005703203,159.5,0.19592042306723748,0.0972047343238479,778,386,3971
34005703600,280.2,0.10613958876339415,0.07601156069364162,733,526,6906
34005703700,299,0.12369690368756807,0.08253477588871716,795,534,6427
34005703801,373.6,0.0985813549507817,0.08520693111843047,681,595,6908
34005703802,322.4,0.116943359375,0.137451171875,479,563,4096
34005703803,313.5,0.08331627430910953,0.08838786911412609,407,443,4885
34005703804,382,0.039658496282015974,0.10245111539520793,288,744,7262
34005703900,291.4,0.04515337423312883,0.044171779141104296,184,180,4075
34005704004,244,0.1066147859922179,0.21011673151750973,411,810,3855
34005704005,261,0.11802355350742448,0.1264720942140297,461,494,3906
34005704006,215.7,0.170797656602073,0.2897701667417756,379,643,2219
34005704007,243.4,0.11727547377094205,0.10131926121372031,427,384,3641
34005704008,326.9,0.12295081967213115,0.1512667660208644,660,812,5368
34005704009,239.2,0.1289902280130293,0.18566775244299674,594,855,4605
34005704011,391.7,0.0818035426731079,0.1037037037037037,254,322,3105
34005704012,222.8,0.08242064228698719,0.1330249768732655,444,719,5387
34005704013,288.3,0.07651109410864575,0.19701606732976282,400,1030,5228
34005704014,340.6,0.10676426047450782,0.22752247752247753,846,1822,7924
34005704200,291.6,0.09987849331713244,0.3297499415751344,822,2822,8230
34005704302,428,0.060871027408777534,0.3035143769968051,362,1805,5947
34005704500,251.6,0.249234693877551,0.3436224489795918,977,1347,3920
34005704600,174.6,0.4504065040650406,0.574750830564784,1108,1557,2460
34005704700,244,0.23066182630550125,0.12489862124898621,826,462,3581
34005704801,233,0.3321727019498607,0.453971119133574,954,1509,2872
34005704802,NA,0.21348314606741572,0.6170290517083866,152,3377,712
34005981802,NA,0,0.7855002995805872,0,1311,41
34005982111,NA,0.4215456674473068,0.4114737883283877,180,416,427
34007600200,61.6,0.5446853516657852,0.973030142781597,1030,1840,1891
34007600400,58.9,0.8273328434974284,0.9596216806111313,2252,2638,2722
34007600700,88.8,0.6938519447929736,0.9127979924717692,1106,1455,1594
34007600800,84.5,0.7769088289771557,0.97,3775,4947,4859
34007600900,88.6,0.7719465648854962,0.9214572983203217,3236,3895,4192
34007601000,106.4,0.5041436464088398,0.9509907729541673,3285,6287,6516
34007601101,88.3,0.6312916919345057,0.950196196800483,2082,3148,3298
34007601102,97.5,0.5743892165122156,0.9691659646166807,3409,5752,5935
34007601200,85.1,0.5399328859060403,0.9461409395973155,3218,5639,5960
34007601300,91.4,0.700556765916243,0.9588516746411483,2894,4008,4131
34007601400,83.6,0.617786391042205,0.9506890611541774,2869,4415,4644
34007601500,73.6,0.627623919562533,0.9597981204316046,3558,5515,5669
34007601600,61.5,0.7791666666666667,0.970961145194274,1870,2374,2400
34007601700,73.5,0.802860696517413,0.994092039800995,2582,3197,3216
34007601800,63.5,0.866577718478986,0.902,1299,1353,1499
34007601900,75.4,0.6806429070580013,0.9951083158630328,1948,2848,2862
34007602000,69.6,0.662449234614183,0.887066541705717,4241,5679,6402
34007602503,140.2,0.19486404833836857,0.7926737160120846,516,2099,2648
34007602601,167.5,0.18827045199850578,0.5426125790844808,504,1458,2677
34007602602,164.7,0.36012104909213183,0.8295225285810356,1071,2467,2974
34007602901,180.2,0.17068361086765996,0.41278816876903,779,1898,4564
34007602902,173.4,0.32774566473988437,0.5156069364161849,1134,1784,3460
34007603001,166.1,0.1840572033898305,0.4314088983050847,695,1629,3776
34007603002,142.5,0.3475595913734393,0.8042543561891831,1531,3554,4405
34007603100,213.9,0.16901034757230035,0.45317060228177236,637,1708,3769
34007603200,199.7,0.17521109770808202,0.31513903192584963,1162,2142,6632
34007603301,238.2,0.20650500384911472,0.42671009771986973,1073,2227,5196
34007603302,246.9,0.18131142731406777,0.2998535871156662,1236,2048,6817
34007603303,234.6,0.3951089033244173,0.2968863142650253,1034,820,2617
34007603400,225.2,0.17458100558659218,0.40852819807427787,1250,2970,7160
34007603501,334.3,0.10618606916707257,0.3681229773462783,654,2275,6159
