GEOID,li_d,moe_li_d,cv_li_d,cat_li_d,z_1dir,z_1dir_sig
34021004407,0.2511129660545353,0.08430645635305398,0.20409191228881343,Medium,1.6470910786517101,Yes
34021003704,0.15688405797101448,0.056218394542160495,0.21783804086336644,Medium,1.9413614767695964,Yes
34021000200,0.6267036850075719,0.12477247406193602,0.12102933191498924,Medium,4.9645412007302365,Yes
34021003004,0.10944328329849895,0.061637264120426236,0.34236419396509127,Medium,-0.35441310547025323,No
34021002100,0.49825997952917095,0.057259217677219386,0.06985918294106457,High,1.868767644145164,Yes
34021003007,0.09580318379160636,0.047744213891854966,0.3029527525438414,Medium,-2.1411455068743863,No
34021004000,0.22242278379462496,0.08410348845762261,0.22986287569770752,Medium,-0.22526595109211425,No
34015501201,0.05249054224464061,0.042018556058380105,0.48662471523382966,Low,-3.685550782275942,No
34005702913,0.20475589225589225,0.08402624428245804,0.24946673424419236,Medium,-0.4229162048386512,No
34005704302,0.060871027408777534,0.032768729158434665,0.3272525689855597,Medium,-2.011382970210286,No
34005702210,0.21206096752816433,0.05754235691415548,0.1649532989807383,Medium,2.3534183246003093,Yes
34005704802,0.21348314606741572,0.09930350177686482,0.28277112967976226,Medium,0.7634358667207479,No
34005702915,0.1562057574327513,0.050593822729605394,0.19689494001604022,Medium,1.829069878375523,Yes
34005702209,0.4379493591747421,0.10494105890291974,0.1456651447101138,Medium,3.943288935009483,Yes
34005704801,0.3321727019498607,0.09240712471163287,0.16911246338998784,Medium,2.9581437323896957,Yes
34005704600,0.4504065040650406,0.10760306216113763,0.14522924347733454,Medium,5.305424566404512,Yes
34005704500,0.249234693877551,0.06374843166365275,0.15548736571635072,Medium,2.831496648888292,Yes
34005704200,0.09987849331713244,0.03381543538018756,0.20581503574123727,Medium,0.08227109813218374,No
34007607507,0.26133629465111974,0.05796368602087489,0.13483118884196554,Medium,1.3527881455315864,No
34007610600,0.3236397748592871,0.107618430008095,0.20214307103410292,Medium,3.164208197466524,Yes
34007610400,0.7167677881963597,0.08126897817106019,0.06892557807439716,High,8.130100799190837,Yes
34007610300,0.521875,0.14106609159062738,0.16431992905010925,Medium,5.082557662311512,Yes
34007608304,0.22278990555813594,0.06968758087052558,0.19014896989961566,Medium,2.2158955690347804,Yes
34007607506,0.15587808417997098,0.068384299845378,0.26668920884043085,Medium,0.48944204782342887,No
34007611200,0.16501498041023277,0.0476341893397172,0.1754807589827248,Medium,3.7237245743120924,Yes
34007611100,0.41383495145631066,0.12356366262022972,0.1815088074571826,Medium,1.526788881341157,No
34007611000,0.361003861003861,0.08002423479230315,0.13475465638025788,Medium,5.513464217879067,Yes
34007610900,0.1576725957190232,0.034470611336129664,0.1329005768705703,Medium,0.7174560935420317,No
34007610500,0.26463899943149516,0.09665437855139478,0.22202495192201532,Medium,1.13449595709575,No
34007608303,0.26079506511309114,0.06960585290330751,0.16224842434315057,Medium,-0.49998021746706145,No
34007608211,0.21614844533600802,0.07255306041735562,0.20405052570498677,Medium,2.696402029754367,Yes
34007608210,0.4365979381443299,0.11198017375086218,0.15591703030303458,Medium,4.725218171815471,Yes
34005704700,0.23066182630550125,0.06537701934553565,0.17229929000225436,Medium,3.043601642051201,Yes
34005982111,0.4215456674473068,0.2268712205274182,0.3271665355123525,Medium,1.7149183503726948,Yes
34005700408,0.20192307692307693,0.06692515085459806,0.20148257892251262,Medium,1.8784439656239407,Yes
34005700407,0.3764308500656784,0.10612837806107517,0.17138800215992434,Medium,4.560190138743215,Yes
34005703104,0.16394813885403597,0.047016442251798615,0.17433210319466919,Medium,2.296679674166041,Yes
34005703103,0.22954005614338155,0.06096453393070309,0.16145551051710966,Medium,1.1651837680042705,No
34005702918,0.05253940455341506,0.02718926577324941,0.3145910994230074,Medium,-0.19776260053023548,No
34005702917,0.08410704533042053,0.038356001505363925,0.277226695441998,Medium,-2.070496575847226,No
34005702914,0.16763814408953137,0.07991667632029088,0.2898001908575551,Medium,-1.3356521719277648,No
34021004502,0.21630347054075869,0.07374826433301064,0.20726330242843574,Medium,2.02310762591274,Yes
34021004310,0.07341064402567819,0.03812868000091676,0.31573798573173745,Medium,-0.6426663460833608,No
34021004309,0.10599178022928835,0.04701919939118293,0.26967279794732174,Medium,0.6005161588108225,No
34021003904,0.054573536983010124,0.024240676705092563,0.2700204988636699,Medium,-2.289086822007833,No
34021001101,0.5407114624505929,0.14227487703027045,0.1599546023243322,Medium,5.706140973592227,Yes
34021004501,0.08186101295641932,0.04266833554326491,0.3168565469920352,Medium,0.3602258741632837,No
34021003905,0.03211009174311927,0.02006074053882933,0.3797864904441853,Medium,-1.9856046899676962,No
34021001102,0.7151265450264862,0.12427159768584752,0.1056387078780967,High,8.472196187458414,Yes
