GEOID,hous_c,li_c,nw_c,tot199_c,totnw_c,univ_c
34005702909,254.07009770977112,0.10454935622317596,0.3254935622317597,609,1896,5825
34005702910,398.45236962257167,0.09720121028744327,0.2537821482602118,514,1342,5288
34005702913,169.55798537633882,0.18478516083587695,0.4226344212256398,787,1800,4259
34005702914,246.68640789537648,0.09502816556453587,0.18270879255449424,388,746,4083
34005702915,201.40570770830593,0.17620650953984288,0.4107744107744108,785,1830,4455
34005702917,253.00257629082245,0.0654925701706109,0.20253164556962025,119,368,1817
34005702918,189.12921139039682,0.10192697768762678,0.3093306288032454,201,610,1972
34005703000,266.2576339094345,0.13152192032005333,0.21222185320491532,789,1278,5999
34005703102,453.6076429349169,0.04114420062695925,0.210423197492163,105,537,2552
34005703103,219.73149206692386,0.2724795640326976,0.5053447914483337,1300,2411,4771
34005703104,229.6060651921986,0.057889447236180905,0.28654970760233917,288,1470,4975
34005703201,281.4698141294523,0.13153058545550014,0.15227093725387242,501,580,3809
34005703202,324.7044315968713,0.17411347517730497,0.07921486154924641,491,226,2820
34005703203,151.23220101772088,0.28922594142259417,0.09126569037656904,1106,349,3824
34005703600,286.54054086945825,0.08510332950631458,0.046131805157593124,593,322,6968
34005703700,305.3111258193047,0.09635376260667183,0.0556751768686558,621,362,6445
34005703801,358.7761568849814,0.07973521889574244,0.07832585949177877,530,524,6647
34005703802,283.96069744033235,0.17719176497802452,0.1647004395095998,766,712,4323
34005703803,286.4515807512125,0.10784953250706675,0.08532712259157316,496,403,4599
34005703804,404.50165766328047,0.06714693489193965,0.05015631371482941,494,369,7357
34005703900,265.99075355469733,0.07512641464001926,0.010576923076923078,312,44,4153
34005704004,216.8847682830609,0.17440543601359004,0.2099009900990099,616,742,3532
34005704005,228.62750389149568,0.05672823218997362,0.09551451187335093,215,362,3790
34005704006,232.80862944904445,0.19092066185829445,0.21130324757486293,450,501,2357
34005704007,218.04124982025522,0.24739069111424541,0.07403345215245408,877,270,3545
34005704008,299.2618377785959,0.10351928116810183,0.05915387495320105,553,316,5342
34005704009,238.67999725326186,0.09774271312732852,0.1606714628297362,446,737,4563
34005704011,308.15784960316773,0.08073514932720709,0.06859205776173286,246,209,3047
34005704012,203.89659101918602,0.12579748077866842,0.19237690168493374,769,1176,6113
34005704013,260.92002681469137,0.04148676553407171,0.11525487256371814,221,615,5327
34005704014,315.27465906282515,0.06894329896907217,0.2427122126621292,535,1890,7760
34005704200,268.1257963925945,0.07691331387231883,0.32701363073110284,606,2639,7879
34005704302,382.884348929571,0.059516023544800525,0.23628428927680797,273,1137,4587
34005704500,247.84288943257084,0.2491103202846975,0.1984409422131842,1470,1171,5901
34005704600,154.7016456293039,0.30707716913234706,0.522229595222296,768,1574,2501
34005704700,231.29630743886725,0.15795119334942342,0.10093896713615023,589,387,3729
34005704801,260.29730598697137,0.18985894014487228,0.2625315542733502,498,728,2623
34005704802,NA,0.055636896046852125,0.6595130004127115,38,3196,683
34005981802,415.1768718527667,0,0.8107334525939177,0,2266,42
34005982111,NA,0.38438735177865613,0.3768949294302143,389,721,1012
42017100102,237.61247583431324,0.21814882032667876,0.22310469314079423,601,618,2755
42017100103,208.25563681322623,0.25127255900046275,0.25173530772790376,543,544,2161
42017100104,300.8631199070188,0.3415897320423328,0.43461625028134143,1517,1931,4441
42017100105,231.83006814834155,0.1786703601108033,0.05939226519337017,645,215,3610
42017100201,213.77116414446076,0.1805816135084428,0.24812382739212008,770,1058,4264
42017100206,263.4109101255715,0.17027083770732732,0.2465437788018433,811,1177,4763
42017100207,250.86753345292524,0.2936115293611529,0.2675844267584427,1365,1244,4649
42017100208,219.55357183043245,0.2630894912736725,0.307920059215396,1417,1664,5386
42017100209,286.4515807512125,0.14476731943567067,0.4187611736249869,1375,3982,9498
42017100210,220.08733253990675,0.13787171295158515,0.23822917940565,1122,1948,8138
42017100211,232.80862944904445,0.11118060985144644,0.10862175525339926,711,703,6395
42017100212,239.21375796273614,0.10099809885931559,0.06962927756653993,425,293,4208
42017100302,177.47543590020774,0.23332104681164761,0.10358638266885127,1266,569,5426
42017100303,191.9759351742598,0.3639596917605216,0.5129672006102212,1842,2690,5061
42017100304,211.72508142480925,0.2738432483474976,0.40415486307837584,580,856,2118
42017100306,185.92664713355097,0.28567359726573627,0.34548561663343774,1003,1213,3511
42017100307,193.3103369479456,0.29946303180503925,0.2229064039408867,1450,1086,4842
42017100401,198.2921035697058,0.28606245239908606,0.2391105696009747,1878,1570,6565
42017100402,192.06489529250553,0.22113796727218135,0.16779127305443095,1473,1119,6661
42017100403,166.62230147423014,0.3842611971536208,0.4625992478061011,918,1107,2389
42017100404,195.71226014057996,0.23243151267653564,0.13573970513472292,1366,801,5877
42017100406,258.6070637403027,0.15797665369649805,0.1176774193548387,609,456,3855
42017100407,192.68761612022556,0.27245508982035926,0.18526785714285715,364,249,1336
42017100408,195.0005791946142,0.18997756170531038,0.09574944071588366,1270,642,6685
42017100500,203.27387019146602,0.25822532402791626,0.0969877523998676,777,293,3009
42017100600,156.83668846720113,0.2650940746981185,0.26670409882088714,944,950,3561
42017100700,150.3425998352637,0.32509505703422054,0.43250950570342206,1026,1365,3156
42017100803,232.007988384833,0.19889149435088468,0.1104242165849499,933,518,4691
42017100804,273.3744433690919,0.12106918238993711,0.11737688185761674,462,460,3816
42017100805,232.09694850307866,0.12529234881389908,0.10023387905111927,750,600,5986
42017100807,298.283276477893,0.18369281820336572,0.15609969392216877,775,714,4219
42017100808,329.5972381003858,0.0732811856731165,0.07837360047142015,356,399,4858
42017100809,390.7128393351942,0.0624058892420947,0.09821577455394363,373,589,5977
42017100811,237.0787151248389,0.2424645390070922,0.32269503546099293,1094,1456,4512
42017100900,275.5984463252349,0.09929455610275523,0.0826479172194216,746,623,7513
42017101100,237.87935618905036,0.2655581947743468,0.1565040650406504,559,385,2105
42017101401,287.9639027613897,0.211932734392997,0.1428242340474545,920,620,4341
42017101403,270.7056398217204,0.09575367958044324,0.029605819658264254,566,175,5911
42017101404,265.1901124904859,0.10965111010421387,0.08209291835814163,242,182,2207
42017101405,249.71105191573088,0.1726245035135961,0.0947143293614421,1130,620,6546
42017101503,289.8320652445498,0.19229788319306299,0.1349145626115787,754,529,3921
42017101504,287.2522218154239,0.16406858924395948,0.04287844891871737,421,115,2566
42017101505,317.14282154598527,0.08726708074534162,0.056580565805658053,281,184,3220
42017101506,289.20934441682977,0.22698471859858368,0.03464977645305514,1218,186,5366
42017101603,238.50207701677041,0.21831226511786814,0.12713282034125126,639,380,2927
42017101605,243.83968411151352,0.5473522302790595,0.47484069435288945,2491,2161,4551
42017101607,253.53633700029678,0.24445227192673477,0.022780569514237858,694,68,2839
42017101609,279.8685320010294,0.11316964285714286,0.12951404369148461,507,581,4480
42017101610,261.7206678789028,0.13628067329142163,0.04926206621459912,672,247,4931
42017101611,277.1997284536578,0.10558437595361611,0.03912127595546193,692,260,6554
42017101802,400.9432529334518,0.04852020489470689,0.1439954467842914,341,1012,7028
42017101803,317.9434626101967,0.09806949806949807,0.08536429756284293,762,669,7770
42017101805,368.2948895372732,0.03954545454545454,0.053636363636363635,87,118,2200
42017101807,305.4000859375505,0.1824967824967825,0.2229086229086229,709,866,3885
42017101808,291.7891878459556,0.03805309734513274,0.21548672566371682,86,487,2260
42017101900,303.08712286316177,0.1078455790784558,0.047512437810945274,433,191,4015
42017102002,344.00877725619216,0.13256066642520825,0.041651575516117346,366,115,2761
42017102003,325.1492321880999,0.10261096605744126,0.09109730848861283,393,352,3830
42017102004,260.20834586872564,0.07861350249207068,0.04957187922487607,347,220,4414
42017102102,315.71945965405376,0.11328976034858387,0.022408963585434174,364,72,3213
42017102104,286.4515807512125,0.16829085457271364,0.1539034842556363,898,826,5336
42017102300,285.3840593322639,0.09177382420292408,0.04152005629838142,521,236,5677
42017102401,223.9126176244726,0.16649020645844362,0.01270513499205929,629,48,3778
42017102402,222.13341525955826,0.11622481442205726,0.05373635600335852,548,256,4715
42017102500,183.9695245321452,0.2276536312849162,0.08020281170776676,978,348,4296
42017102600,210.39067965112346,0.30330788804071246,0.07221425155428025,596,151,1965
42017102700,265.0121922539944,0.19068471337579618,0.08051093477840139,958,416,5024
42017102801,269.9049987575089,0.051769523252412984,0.05498683825680024,177,188,3419
42017103101,177.38647578196202,0.2989309210526316,0.018914473684210526,727,46,2432
42017103102,153.723084328601,0.3559322033898305,0.113160518444666,714,227,2006
42017103103,182.45720252196796,0.24522727272727274,0.12222953697608076,1079,557,4400
42017103300,327.99595597196287,0.11990846681922197,0.07541133455210237,262,165,2185
