GEOID,hous_b,li_b,nw_b,tot199_b,totnw_b,univ_b
34005702905,121.14346789320633,0.057424318568250525,0.06727741265499008,238.674646794796,279.86999999999944,4156.334225773811
34005702906,104.54125118821663,0.06464515560612502,0.09532236874777085,125.32046698161867,211.13999999999987,1938.5902017813642
34005702907,117.72624470921458,0.09556425309849967,0.02684346701164295,293,83,3066
34005702908,128.6138150731336,0.08464912280701754,0.6098317094774136,386,2754,4560
34005702909,113.65218612142554,0.08956973045370835,0.5166304529500251,535,3091,5973
34005702910,186.21257441773741,0.06168831168831169,0.48589531680440773,285,2292.94,4620
34005702913,48.236077236066606,0.10913435874048275,0.4521171517093452,412.0253677368164,1707.3300000000004,3775.395462036133
34005702914,47.994774560955385,0.10913435657967191,0.007888297872340386,409.96419632434845,29.659999999999854,3756.5089132785797
34005702915,55.274605568668314,0.09010357986764192,0.18649444822116473,398.4226756095886,823,4421.82950091362
34005702917,24.38695982264116,0.09010358057792794,0.6173600410888547,175.78267058730125,1202,1950.895483955741
34005702918,20.581836010020883,0.0900981045131666,0.36991033771370324,147.83780706164544,606.05,1640.853673287842
34005703000,101.46190176780702,0.10319403130108436,0.23824688266619518,422.9989589031484,983.7999999999997,4099.0639623965
34005703102,171.13464289993973,0.0745682897896128,0.2805599745466115,94.93548214435577,352.72,1273.1347815990448
34005703103,47.613740248743596,0.12581809969851168,0.5010349288486416,496.2585312128067,2052.6899999999996,3944.25390458107
34005703104,60.25731593300387,0.12591105369043668,0.4629674537582089,620.6199797758454,2367.31,4929.034751776417
34005703201,105.21297988419012,0.1240246809102779,0.007433277926152725,463.9520827628311,27.859999999999673,3740.8045910389624
34005703202,119.3767943088093,0.10181294502701076,0.13008250919415384,273.3542885457591,341.3299999999999,2684.867663141109
34005703203,65.67663413073726,0.20666319625195212,0.01219815782922579,794,49,3842
34005703600,120.56205990630147,0.06733118017583987,0.005278985229167674,476.8122072283495,37.82999999999993,7081.595924115896
34005703700,134.78986036803397,0.07209522436802142,0.1359384672526927,461.98394126047606,878.3799999999992,6407.968510068049
34005703801,163.44304562629543,0.0408128529357838,0.1648590021691975,261.68389186490094,1063.2400000000007,6411.801108309475
34005703802,121.36079104136971,0.1018010994623709,0.19195026297230272,389.94197845458984,737.5900000000001,3830.4300498962402
34005703803,129.8781780831371,0.040551500405515,-0.07469123701235052,200,-381,4932
34005703804,174.85796896884227,0.035594638873298674,0.12350495729493163,242.7447393108523,845.1999999999998,6819.699257542612
34005703900,113.51538801731412,0.06323445530985179,-0.05397898256508245,264.5678897816688,-226.01000000000022,4183.919802205637
34005704004,95.03795291859628,0.13693931398416886,0.14809310889005792,519,563.0500000000002,3790
34005704005,103.53728204139756,0.05177554892924912,0.02031715912171315,191,74.94999999999982,3689
34005704006,105.069815310575,0.05354752275165691,0.07149695903126688,121.58814676478505,156.82000000000016,2270.658669490367
34005704007,93.22444783117554,0.1262477957557763,0.14089055728158584,429.41184282302856,505.17999999999984,3401.341248035431
34005704008,125.73408606878888,0.05120812401957027,0.22545283530275478,284.0005103212833,1256,5546.004970085542
34005704009,106.49672350520315,0.09225260198155007,0.42553875844322936,356.0297566817608,1653.75,3859.2923021739116
