GEOID,hous_d,li_d,nw_d,tot199_d,totnw_d,univ_d,rc_hous,rc_li,rc_nw,rc_pop,rr_hous,rr_li,rr_nw,rr_pop
42045401800,160.7,0.24121443939756157,0.6712885488883577,1009,2808,4183,-4.6582634611207565e-4,3.2115843889411346,46.49534064173748,1.7823988730061673e-5,-4.301402275466379e-4,2.9520622679666846,41.96480393657972,1.654819217203123e-5
42045401900,160.1,0.27207465900933236,0.5582675281167744,1137,2333,4179,-0.0010289474908375055,4.288671543382861,35.78452239089119,-4.669686488385344e-5,-9.501216741740521e-4,3.9421120262379774,32.2976548912489,-4.335442002530428e-5
42045402000,155.6,0.15138218516893373,0.6472136902150066,345,1475,2279,-8.51413054624302e-4,-1.559747793969148,5.296535153110762,-4.141957711584419e-5,-7.86187831815255e-4,-1.4337074952711113,4.7804372691050245,-3.8454867323902593e-5
42045402100,136,0.3370127630217316,0.9404007535536907,1954,5491,5798,-3.673534487136666e-4,5.381511232921739,1.58775353318627,-8.358979062624947e-6,-3.3921116170986475e-4,4.946641386740882,1.4330417801039186,-7.760664236563647e-6
42045402200,132.4,0.3300312825860271,0.8589065255731922,633,1948,1918,-1.9368289849261717e-4,1.8835916790736595,0.3280083676266484,-3.0935126030726546e-5,-1.788451999867404e-4,1.7313821623982497,0.29604701561544444,-2.872086703909722e-5
42045402300,146.4,0.4332552693208431,0.9947306791569087,1480,3398,3416,-1.935883975875803e-4,6.617023003464302,0.5240048258990853,-1.048954562894131e-5,-1.7875793862607417e-4,6.082313764526331,0.47294544952612205,-9.738730173917158e-6
42045402400,68.5,0.6673457508731082,0.9074505238649593,2293,3118,3436,-5.959484210493533e-4,1.8894661900375507,3.823246753058147,-2.0641502028459813e-5,-5.502938843535352e-4,1.7367819651308123,3.4507070639509707,-1.9164034911569625e-5
42045402500,66.7,0.5568615927123126,0.9502906976744186,1895,3269,3403,-5.859185348569591e-4,0.8359949409527608,1.0673222729110652,-9.533603337911927e-6,-5.410323697031265e-4,0.7684397551239052,0.9633216856067266,-8.851211842476243e-6
42045402600,77.5,0.4763935424916235,0.7743870631194575,1564,2969,3283,-0.0012825502835270924,4.080483863813235,62.38914725591404,-8.836313992052199e-6,-0.0011842964130320307,3.7507476032356406,56.309907535435926,-8.203832724953831e-6
42045402700,88.5,0.3985904463586531,0.8347689898198903,1018,2132,2554,-7.503425814208751e-4,1.3088502748234816,22.179774211731242,-9.453578162709126e-6,-6.928601857840263e-4,1.2030845348573047,20.01856236143766,-8.776914669272642e-6
