GEOID,li_c,moe_li_c,cv_li_c,cat_li_c
42101011000,0.6740347774830533,0.11290275599239132,0.10182544953628045,High
42101011100,0.7709288990825688,0.07626300613385627,0.06013588296683001,High
42101011200,0.6596877869605142,0.07453441721839346,0.06868351516611593,High
42101011300,0.5447839831401475,0.1356416764585376,0.15135714104537187,Medium
42101011400,0.5722428419936373,0.10623148076069008,0.11285140331729383,High
42101011500,0.3893351182507809,0.09720610008906307,0.15177632683888165,Medium
42101011700,0.3251895534962089,0.0993992393807842,0.18581491589364985,Medium
42101011800,0.3268258671779676,0.08963439971361398,0.16672179976721488,Medium
42101011900,0.40499149177538285,0.09407622962736222,0.1412108612236721,Medium
42101012000,0.35143380109823064,0.10664130224970021,0.1844658628707137,Medium
42101012100,0.41799333580155495,0.09233960490271632,0.13429280711727398,Medium
42101012201,0.6707063711911357,0.11474398892730137,0.10399958574176102,High
42101012203,0.6031372549019608,0.14583155877340404,0.14698379645621173,Medium
42101012204,0.43397478433974784,0.09862057319952806,0.1381456213450906,Medium
42101012500,0.28420523138833,0.066406987622544,0.1420416831843532,Medium
42101013100,0.5907545887151597,0.10401664884531443,0.10703599529309624,High
42101013200,0.7069033530571992,0.11460058447253896,0.09855096668675582,High
42101013300,0.45067033344792023,0.12793366954122676,0.17256788812708398,Medium
42101013401,0.17437874892887748,0.06586942100721392,0.22962775834871105,Medium
42101013402,0.27165487023929896,0.10232885013743187,0.2289890399192684,Medium
42101013500,0.36113602391629296,0.1033548668568156,0.17397795327806928,Medium
42101013601,0.11846038863976084,0.11031558591865567,0.5661060817472362,Low
42101013602,0.20513520895930074,0.07360946084743683,0.2181360910174205,Medium
42101013700,0.6360730593607306,0.12223539414218915,0.11682184835222323,High
42101013800,0.45656465942744323,0.10893396292254894,0.14504244401944247,Medium
42101013900,0.8223819301848049,0.0873712903778303,0.06458464672047988,High
42101014000,0.6476578411405295,0.15857994078768475,0.1488458468137738,Medium
42101014100,0.6820300362506473,0.17339725053523297,0.15455135014114463,Medium
42101014200,0.25744416873449133,0.06927958084060669,0.16358982578102021,Medium
42101014300,0.252387448840382,0.09423459611626611,0.22697431677720548,Medium
42101014400,0.5898983481575604,0.10797250872168818,0.11126795594943452,High
42101014500,0.6425,0.14252249654522747,0.13484796191286175,Medium
42101014600,0.517402376910017,0.119901678704406,0.14087403099734475,Medium
42101014700,0.8102853559109439,0.12739881995020702,0.09557878664618608,High
42101014800,0.48356164383561645,0.21106338927499124,0.2653353783389335,Medium
42101014900,0.591830371063299,0.14224691814010276,0.1461099242124359,Medium
42101015101,0.7145336225596529,0.14421939984225957,0.12269733000275285,Medium
42101015102,0.8241935483870968,0.07626232800980225,0.05624901809560774,High
42101015200,0.8393900064892926,0.08216095632004962,0.05950257891712312,High
42101015300,0.8564529111886235,0.09701459480353045,0.06886010520845387,High
42101015600,0.7006507592190889,0.10129180727903932,0.08788339400874613,High
42101015700,0.6069633883704235,0.1404395004011987,0.14065684703669512,Medium
42101015800,0.3726752503576538,0.08000106675804483,0.13049663824857116,Medium
42101016000,0.49304677623261695,0.07951554657768016,0.09803880810996025,High
42101016100,0.6988073579947442,0.06146350739308585,0.05346800352636265,High
42101016200,0.7357859531772575,0.09437628919674498,0.07797322594591531,High
42101016300,0.7694263916360554,0.12037536957882496,0.09510528525762452,High
42101016400,0.8295888088172955,0.07658220533424845,0.05611759901203911,High
42101016500,0.7634746206174777,0.08159384418149238,0.06496760958846023,High
