geoid,year,pop,hu,own,vhu,rm,em
42029305400,1990,2.2922,0.9391,57.126569144994136,6.6052603556596825,32.15150444331018,4.404502224936741
42029305500,1990,3.2382600000000004,1.37125,38.32041132783808,10.643573381950779,66.80964468572628,3.76713492080648
42029305600,1990,3.312,1.245,42.56410256410256,6.024096385542169,49.124396135265705,8.63526570048309
42029305700,1990,2.20813,0.8415,74.71379102123306,3.5686274509803892,9.607677084229646,1.9478108073836562
42029306000,1990,4.4244200000000005,1.52781,90.94662261130225,3.9245717726680702,9.826124495132715,1.0159500771850838
42029306300,1990,2.1230100000000003,0.77839,74.96736593663059,2.566836675702414,13.377233267860245,2.3000362692592122
42029306501,1990,1.8272,0.64077,81.66300741205407,5.462178316712705,4.275394045534145,4.933778458844134
42029306503,1990,1.39697,0.47376,57.655635321049935,5.0299729821006265,19.540723560824063,27.93402864771613
42029306504,1990,2.20497,0.66434,57.10892749033669,3.033085468284309,13.288162650739022,29.442123929123753
42029306600,1990,2.6697100000000002,0.9005,92.96941719561454,3.7756801776790674,2.24294024444603,1.1930134733735125
42029306700,1990,2.77808,0.9417300000000001,88.14138108989492,3.2918140018901387,2.411737602948799,0.5759373380176237
42029306800,1990,1.129,0.399,84.33420365535248,4.010025062656641,0.8857395925597875,2.0372010628875112
42029306900,1990,2.721,0.922,90.34883720930232,6.724511930585683,2.6460859977949283,1.5067989709665564
42029307000,1990,2.257,0.848,85.16284680337756,2.240566037735849,6.2915374390784224,4.164820558263181
42029307100,1990,1.2423499999999998,0.44779,85.85484403756311,5.352955626521366,3.447498691995004,2.9629331508834067
42029307200,1990,1.19898,0.44199,78.97147129605831,3.1674924772053665,6.67233815409765,1.0008507231146475
42029307300,1990,2.5037399999999996,0.91284,83.02352027202001,2.7025546645633485,3.8718077755677522,1.4781827259111329
42029307400,1990,2.98487,1.15613,68.62905841230946,3.9865759040938427,8.579268108828858,0.5025344487364609
42029307700,1990,2.34204,0.79201,80.62443921405443,2.904003737326549,1.622517121825417,0.7258629229218971
42029307800,1990,1.61871,0.55343,80.69338783543394,4.519090038487251,5.130010934633131,1.2973293548566451
42029307900,1990,3.25927,0.80632,79.65279949953081,4.841750173628345,38.16897648860021,2.765334675142976
42029308000,1990,3.77815,1.61691,47.59157263266817,5.564935587014739,14.553683681166701,6.693222873628628
42029308101,1990,1.489,0.468,88.27433628318585,3.418803418803419,3.089321692411014,1.3431833445265278
42029308102,1990,2.34859,0.8189099999999999,73.39405741566681,2.803726905276531,5.495637808216851,3.491456576073303
42029308200,1990,2.17829,0.80343,79.79985411361223,2.7382597114869855,2.249470915259217,2.157655775860882
42029310400,1990,3.099,0.04,22.5,0,12.842852533075186,1.516618263956115
42029311000,1990,4.17213,1.55414,74.46259559199049,2.987504343238065,5.825815173101444,0.6476323787427014
42029311100,1990,3.34232,1.14655,83.63519720326534,6.19336269678601,1.8852174537447106,0.6585226473747356
42029311200,1990,1.9713800000000001,0.78667,68.43010059497429,5.351672238676958,3.0658570856096485,3.0557274599519118
42029311300,1990,3.2522800000000003,0.82533,89.49918608200224,4.726594210800541,10.331860515885827,3.044018350203549
42029311401,1990,5.76409,1.9655799999999999,70.50427161352168,3.4086630918100513,22.414639604863908,1.283810627523165
