GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CY8AA1990,CY8AA1990L,CY8AA1990U,CY8AA2000,CY8AA2000L,CY8AA2000U,CY8AA2010,CY8AB1990,CY8AB1990L,CY8AB1990U,CY8AB2000,CY8AB2000L,CY8AB2000U,CY8AB2010,CY8AC1990,CY8AC1990L,CY8AC1990U,CY8AC2000,CY8AC2000L,CY8AC2000U,CY8AC2010,CY8AD1990,CY8AD1990L,CY8AD1990U,CY8AD2000,CY8AD2000L,CY8AD2000U,CY8AD2010,CY8AE1990,CY8AE1990L,CY8AE1990U,CY8AE2000,CY8AE2000L,CY8AE2000U,CY8AE2010,CY8AF1990,CY8AF1990L,CY8AF1990U,CY8AF2000,CY8AF2000L,CY8AF2000U,CY8AF2010,CM7AA1990,CM7AA1990L,CM7AA1990U,CM7AA2000,CM7AA2000L,CM7AA2000U,CM7AA2010,CN1AA1990,CN1AA1990L,CN1AA1990U,CN1AA2000,CN1AA2000L,CN1AA2000U,CN1AA2010,CN1AB1990,CN1AB1990L,CN1AB1990U,CN1AB2000,CN1AB2000L,CN1AB2000U,CN1AB2010
G3400290710100,2010,New Jersey,34,Ocean County,029,710100,5112,5112,5112,5314,5314,5314,4665,4975,4975,4975,5098,5098,5098,4308,65,65,65,28,28,28,39,11,11,11,18,18,18,7,41,41,41,54,54,54,39,0,0,0,1,1,1,1,20,20,20,78,78,78,211,NA,37,37,37,60,4939,4939,4939,4975,4975,4975,4161,59,59,59,40,40,40,38,11,11,11,9,9,9,2,38,38,38,56,56,56,41,0,0,0,0,0,0,2,65,65,65,234,234,234,421,3235,3235,3235,3558,3558,3558,3373,1255,1255,1255,1457,1457,1457,1280,813,813,813,860,860,860,705
G3400290711100,2010,New Jersey,34,Ocean County,029,711100,4644,4644,4644,4985,4985,4985,4551,4581,4581,4581,4856,4856,4856,4342,25,25,25,23,23,23,22,4,4,4,5,5,5,9,8,8,8,15,15,15,34,0,0,0,1,1,1,2,26,26,26,40,40,40,94,NA,45,45,45,48,4519,4519,4519,4745,4745,4745,4205,24,24,24,23,23,23,21,4,4,4,3,3,3,4,8,8,8,16,16,16,36,1,1,1,4,4,4,2,88,88,88,194,194,194,283,2082,2082,2082,2172,2172,2172,2158,1205,1205,1205,1363,1363,1363,1322,668,668,668,665,665,665,587
G3400290711200,2010,New Jersey,34,Ocean County,029,711200,3979.23,3979,4070,4150.28,4150,4236,4199,3941.23,3941,4032,4052.27,4052,4136,4031,12,12,12,10,10,10,13,2,2,2,12,12,12,10,20,20,20,20.01,20,22,25,0,0,0,0,0,0,0,4,4,4,23,23,23,78,NA,33,33,33,42,3891.23,3891,3982,4033.27,4033,4117,3892,12,12,12,12,12,12,17,2,2,2,12,12,12,4,19,19,19,20.01,20,22,25,0,0,0,0,0,0,5,55,55,55,73,73,73,256,1665.1,1665,1701,1744.13,1744,1784,1759,1148.07,1148,1175,1284.12,1284,1320,1302,335,335,340,298,298,299,298
G3400290711300,2010,New Jersey,34,Ocean County,029,711300,3832.77,3742,3833,4211.72,4126,4212,4136,3782.77,3692,3783,4118.73,4035,4119,3957,13,13,13,18,18,18,18,4,4,4,2,2,2,0,13,13,13,32.99,31,33,32,0,0,0,0,0,0,0,20,20,20,18,18,18,95,NA,22,22,22,34,3739.77,3649,3740,4070.73,3987,4071,3885,11,11,11,16,16,16,22,4,4,4,3,3,3,0,13,13,13,32.99,31,33,33,1,1,1,1,1,1,1,64,64,64,88,88,88,195,1596.9,1561,1597,1692.87,1653,1693,1702,1138.93,1112,1139,1284.88,1249,1285,1277,331,326,331,327,326,327,299
G3400290711400,2010,New Jersey,34,Ocean County,029,711400,5721,5721,5721,5959,5959,5959,5506,5672,5672,5672,5860,5860,5860,5336,20,20,20,5,5,5,22,10,10,10,8,8,8,5,12,12,12,37,37,37,42,0,0,0,1,1,1,4,7,7,7,15,15,15,38,NA,33,33,33,59,5622,5622,5622,5795,5795,5795,5236,19,19,19,7,7,7,20,10,10,10,7,7,7,4,12,12,12,37,37,37,43,0,0,0,3,3,3,2,58,58,58,110,110,110,201,2662,2662,2662,2741,2741,2741,2712,1893,1893,1893,2101,2101,2101,1923,289,289,289,237,237,237,265
G3400290712000,2010,New Jersey,34,Ocean County,029,712000,1632.72,1618,1806,1662.62,1661,1738,1264,1625.72,1611,1799,1627.62,1626,1703,1235,4,4,4,9,9,9,10,0,0,0,1,1,1,1,0,0,0,9,9,9,8,0,0,0,0,0,0,0,3,3,3,7,7,7,7,NA,9,9,9,3,1621.54,1607,1793,1622.62,1621,1698,1224,4,4,4,11,11,11,12,0,0,0,1,1,1,1,0,0,0,9,9,9,8,0,0,0,0,0,0,2,7.17,7,9,19,19,19,17,1533.73,1516,1736,1577,1575,1670,1558,592.91,587,664,673.67,673,705,548,135.39,135,139,118.02,118,119,73
G3400290713000,2010,New Jersey,34,Ocean County,029,713000,4038,4038,4038,4401,4401,4401,4333,3960,3960,3960,4238,4238,4238,4036,24,24,24,29,29,29,72,2,2,2,15,15,15,11,36,36,36,46,46,46,86,0,0,0,0,0,0,0,16,16,16,17,17,17,73,NA,56,56,56,55,3881,3881,3881,4153,4153,4153,3831,24,24,24,32,32,32,87,2,2,2,15,15,15,6,36,36,36,42,42,42,90,0,0,0,2,2,2,6,95,95,95,157,157,157,313,1513,1513,1513,1795,1795,1795,1889,972,972,972,1169,1169,1169,1263,482,482,482,553,553,553,522
G3400290713100,2010,New Jersey,34,Ocean County,029,713100,5804,5804,5804,7018,7018,7018,6817,5716,5716,5716,6763,6763,6763,6447,30,30,30,44,44,44,118,2,2,2,6,6,6,7,32,32,32,75,75,75,88,0,0,0,1,1,1,0,24,24,24,35,35,35,74,NA,94,94,94,83,5625,5625,5625,6657,6657,6657,6241,29,29,29,61,61,61,129,1,1,1,5,5,5,6,32,32,32,80,80,80,87,5,5,5,4,4,4,6,112,112,112,211,211,211,348,2163,2163,2163,2542,2542,2542,2582,1666,1666,1666,2133,2133,2133,2178,347,347,347,320,320,320,299
G3400290713201,2010,New Jersey,34,Ocean County,029,713201,2209,2209,2209,2643,2643,2643,2512,2172,2172,2172,2588,2588,2588,2443,10,10,10,6,6,6,11,0,0,0,1,1,1,1,23,23,23,23,23,23,41,0,0,0,0,0,0,0,4,4,4,9,9,9,2,NA,16,16,16,14,2136,2136,2136,2561,2561,2561,2385,10,10,10,8,8,8,11,0,0,0,1,1,1,1,22,22,22,23,23,23,41,0,0,0,7,7,7,0,41,41,41,43,43,43,74,858,858,858,997,997,997,1039,746,746,746,908,908,908,898,44,44,44,55,55,55,76
G3400290713202,2010,New Jersey,34,Ocean County,029,713202,3557,3557,3557,4084,4084,4084,3904,3408,3408,3408,3846,3846,3846,3589,66,66,66,85,85,85,127,2,2,2,4,4,4,1,43,43,43,69,69,69,72,1,1,1,0,0,0,1,37,37,37,28,28,28,45,NA,52,52,52,69,3314,3314,3314,3722,3722,3722,3423,65,65,65,94,94,94,146,2,2,2,4,4,4,0,44,44,44,74,74,74,72,1,1,1,1,1,1,6,131,131,131,189,189,189,257,1209,1209,1209,1447,1447,1447,1457,967,967,967,1209,1209,1209,1255,194,194,194,206,206,206,157
G3400290713203,2010,New Jersey,34,Ocean County,029,713203,4313,4313,4313,4914,4914,4914,4930,4117,4117,4117,4561,4561,4561,4193,93,93,93,145,145,145,384,8,8,8,10,10,10,5,41,41,41,89,89,89,82,0,0,0,1,1,1,0,54,54,54,49,49,49,128,NA,59,59,59,138,4022,4022,4022,4400,4400,4400,3916,90,90,90,155,155,155,405,8,8,8,10,10,10,4,36,36,36,94,94,94,89,1,1,1,4,4,4,2,156,156,156,251,251,251,514,1889,1889,1889,2107,2107,2107,2261,1453,1453,1453,1578,1578,1578,1736,301,301,301,413,413,413,371
G3400290713300,2010,New Jersey,34,Ocean County,029,713300,3563,3563,3563,4187,4187,4187,4250,3541,3541,3541,4089,4089,4089,4083,8,8,8,27,27,27,47,4,4,4,1,1,1,4,6,6,6,39,39,39,66,0,0,0,0,0,0,0,4,4,4,20,20,20,31,NA,11,11,11,19,3514,3514,3514,4036,4036,4036,4019,2,2,2,27,27,27,49,4,4,4,1,1,1,4,6,6,6,39,39,39,67,1,1,1,10,10,10,3,36,36,36,74,74,74,108,1997,1997,1997,2192,2192,2192,2320,1762,1762,1762,2025,2025,2025,1935,68,68,68,53,53,53,214
G3400290713401,2010,New Jersey,34,Ocean County,029,713401,4385,4385,4463,5241,5241,5241,5197,4191,4191,4268,4969,4969,4969,4713,53,53,53,76,76,76,190,11,11,12,4,4,4,15,53,53,53,78,78,78,65,0,0,0,0,0,0,2,77,77,77,58,58,58,94,NA,56,56,56,118,4073,4073,4150,4796,4796,4796,4433,52,52,52,86,86,86,221,9,9,10,3,3,3,10,52,52,52,80,80,80,59,18,18,18,9,9,9,10,181,181,181,267,267,267,464,1657,1657,1692,1809,1809,1809,1987,1192,1192,1215,1431,1431,1431,1561,302,302,308,313,313,313,361
G3400290713402,2010,New Jersey,34,Ocean County,029,713402,3608,3608,3608,3740,3740,3740,3642,3538,3538,3538,3551,3551,3551,3359,12,12,12,54,54,54,91,8,8,8,4,4,4,8,29,29,29,36,36,36,46,0,0,0,0,0,0,3,21,21,21,39,39,39,64,NA,56,56,56,71,3462,3462,3462,3432,3432,3432,3153,10,10,10,69,69,69,103,7,7,7,4,4,4,1,29,29,29,36,36,36,50,6,6,6,4,4,4,1,94,94,94,195,195,195,334,1529,1529,1529,1724,1724,1724,1693,984,984,984,1025,1025,1025,1011,497,497,497,657,657,657,624
G3400290713500,2010,New Jersey,34,Ocean County,029,713500,2379.29,1111,2382,3104.96,2915,3108,3116,2351.31,1104,2354,3018.99,2831,3022,3025,3,0,3,8.98,7,9,22,3,1,3,2,2,2,3,16.99,4,17,48,48,48,41,0,0,0,0,0,0,3,5,2,5,6,6,6,8,NA,21,21,21,14,2330.33,1100,2333,3001.01,2815,3004,2952,3,0,3,10.98,9,11,25,3,1,3,2,2,2,2,16.99,4,17,45,45,45,44,0,0,0,1,1,1,2,25.98,6,26,44.98,43,45,91,993.86,467,995,1361.45,1274,1363,1433,803.27,380,804,1227.87,1158,1229,1201,104.73,48,105,68.77,61,69,98
G3400290713600,2010,New Jersey,34,Ocean County,029,713600,3380,3380,3380,3773,3773,3773,3762,3352,3352,3352,3697,3697,3697,3627,6,6,6,9,9,9,21,1,1,1,1,1,1,3,8,8,8,29,29,29,54,0,0,0,0,0,0,0,13,13,13,12,12,12,26,NA,25,25,25,31,3278,3278,3278,3652,3652,3652,3499,5,5,5,15,15,15,25,1,1,1,0,0,0,2,8,8,8,30,30,30,54,3,3,3,6,6,6,6,85,85,85,70,70,70,176,1130,1130,1130,1279,1279,1279,1328,1027,1027,1027,1216,1216,1216,1224,62,62,62,38,38,38,48
G3400290713700,2010,New Jersey,34,Ocean County,029,713700,2510.71,2508,3701,2641.04,2638,2831,2590,2475.69,2473,3646,2591.01,2588,2779,2528,8,8,11,3.02,3,5,9,5,5,6,2,2,2,3,18.01,18,31,21,21,21,24,0,0,0,0,0,0,0,4,4,7,3,3,3,4,NA,21,21,21,22,2447.67,2445,3601,2574.99,2572,2761,2502,6,6,9,4.02,4,6,14,5,5,6,2,2,2,1,18.01,18,31,21,21,21,24,0,0,0,0,0,0,0,34.02,34,54,39.02,39,41,49,1159.14,1158,1651,1226.55,1225,1314,1300,863.73,863,1264,966.13,965,1036,967,110.27,110,161,112.23,112,120,97
G3400290713800,2010,New Jersey,34,Ocean County,029,713800,3139,3139,3289,3500,3500,3577,3549,3085,3085,3235,3394,3394,3471,3403,7,7,7,21,21,21,26,6,6,6,6,6,6,3,19,19,19,28,28,28,66,0,0,0,0,0,0,0,22,22,22,21,21,21,20,NA,30,30,30,31,3036,3036,3184,3362,3362,3439,3272,7,7,7,19,19,19,28,6,6,6,7,7,7,3,19,19,19,28,28,28,62,3,3,3,4,4,4,0,68,68,70,80,80,80,184,1414,1414,1582,1506,1506,1601,1583,975,975,1036,1131,1131,1163,1137,181,181,184,164,164,165,207
G3400290713900,2010,New Jersey,34,Ocean County,029,713900,5411,5411,5411,6137,6137,6137,6421,5246,5246,5246,5698,5698,5698,5510,28,28,28,58,58,58,135,16,16,16,4,4,4,25,61,61,61,109,109,109,208,0,0,0,1,1,1,10,60,60,60,150,150,150,370,NA,117,117,117,163,5108,5108,5108,5469,5469,5469,5003,26,26,26,73,73,73,151,12,12,12,4,4,4,12,61,61,61,115,115,115,209,8,8,8,17,17,17,9,196,196,196,459,459,459,1037,2371,2371,2371,2551,2551,2551,2615,1313,1313,1313,1532,1532,1532,1638,673,673,673,829,829,829,762
G3400290714000,2010,New Jersey,34,Ocean County,029,714000,6290,6290,6290,6408,6408,6408,6228,6195,6195,6195,6155,6155,6155,5778,8,8,8,34,34,34,62,5,5,5,4,4,4,2,65,65,65,87,87,87,94,2,2,2,0,0,0,6,15,15,15,73,73,73,239,NA,55,55,55,47,6021,6021,6021,5946,5946,5946,5470,8,8,8,47,47,47,62,5,5,5,5,5,5,2,67,67,67,89,89,89,97,0,0,0,3,3,3,15,189,189,189,318,318,318,582,2332,2332,2332,2383,2383,2383,2404,1941,1941,1941,2036,2036,2036,1989,265,265,265,283,283,283,303
G3400290714100,2010,New Jersey,34,Ocean County,029,714100,2847,2847,2847,3183,3183,3183,3221,2813,2813,2813,3106,3106,3106,3103,0,0,0,13,13,13,32,1,1,1,4,4,4,1,25,25,25,37,37,37,36,0,0,0,0,0,0,0,8,8,8,4,4,4,19,NA,19,19,19,30,2772,2772,2772,3059,3059,3059,3010,0,0,0,13,13,13,39,1,1,1,3,3,3,1,10,10,10,31,31,31,34,0,0,0,0,0,0,4,64,64,64,77,77,77,133,1407,1407,1407,1629,1629,1629,1683,1246,1246,1246,1493,1493,1493,1439,38,38,38,49,49,49,105
G3400290714200,2010,New Jersey,34,Ocean County,029,714200,5122,5122,5122,6533,6533,6533,6409,4985,4985,4985,6115,6115,6115,5903,55,55,55,126,126,126,142,7,7,7,8,8,8,11,50,50,50,72,72,72,88,0,0,0,8,8,8,2,25,25,25,113,113,113,129,NA,91,91,91,134,4855,4855,4855,5951,5951,5951,5657,52,52,52,136,136,136,166,5,5,5,5,5,5,9,44,44,44,77,77,77,83,4,4,4,8,8,8,4,162,162,162,356,356,356,490,2424,2424,2424,2822,2822,2822,2910,1333,1333,1333,1821,1821,1821,1842,538,538,538,646,646,646,602
G3400290714300,2010,New Jersey,34,Ocean County,029,714300,3064,3064,3064,3681,3681,3681,3445,3016,3016,3016,3622,3622,3622,3382,8,8,8,12,12,12,13,6,6,6,0,0,0,0,22,22,22,18,18,18,9,0,0,0,1,1,1,0,12,12,12,13,13,13,23,NA,15,15,15,18,2990,2990,2990,3556,3556,3556,3291,5,5,5,11,11,11,11,6,6,6,0,0,0,0,22,22,22,19,19,19,10,1,1,1,1,1,1,3,40,40,40,94,94,94,130,1450,1450,1450,1669,1669,1669,1758,995,995,995,1293,1293,1293,1243,109,109,109,101,101,101,107
G3400290714400,2010,New Jersey,34,Ocean County,029,714400,780.28,607,795,928.38,853,930,746,780.28,607,795,928.38,853,930,734,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,3,775.45,604,790,923.38,848,925,720,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,4.83,3,5,5,5,5,17,1281.27,1079,1299,1647,1554,1649,1435,336.09,265,342,410.33,379,411,346,41.61,38,42,44.98,44,45,26
G3400290715000,2010,New Jersey,34,Ocean County,029,715000,5658,5658,5658,6056,6056,6056,8890,4412,4412,4412,3735,3735,3735,5728,820,820,820,1515,1515,1515,1505,17,17,17,15,15,15,35,172,172,172,175,175,175,120,1,1,1,7,7,7,0,236,236,236,373,373,373,1187,NA,236,236,236,315,4095,4095,4095,3079,3079,3079,4174,793,793,793,1498,1498,1498,1490,17,17,17,12,12,12,4,170,170,170,162,162,162,122,8,8,8,4,4,4,2,575,575,575,1301,1301,1301,3098,2114,2114,2114,2138,2138,2138,2555,1212,1212,1212,1190,1190,1190,1039,747,747,747,834,834,834,1352
G3400290715200,2010,New Jersey,34,Ocean County,029,715200,3908,3908,3908,5440,5440,5440,12765,1490,1490,1490,3214,3214,3214,9938,1791,1791,1791,1288,1288,1288,621,10,10,10,35,35,35,62,15,15,15,14,14,14,45,4,4,4,4,4,4,5,598,598,598,624,624,624,1873,NA,261,261,261,221,1073,1073,1073,2036,2036,2036,8205,1680,1680,1680,1250,1250,1250,566,10,10,10,12,12,12,3,17,17,17,13,13,13,34,15,15,15,6,6,6,13,1113,1113,1113,2123,2123,2123,3944,1290,1290,1290,1517,1517,1517,2413,535,535,535,514,514,514,636,662,662,662,872,872,872,1637
G3400290715301,2010,New Jersey,34,Ocean County,029,715301,5049,5049,5049,7853,7853,7853,9272,3897,3897,3897,5942,5942,5942,7864,934,934,934,1025,1025,1025,472,1,1,1,9,9,9,34,91,91,91,157,157,157,107,1,1,1,5,5,5,8,125,125,125,422,422,422,685,NA,293,293,293,102,3656,3656,3656,5481,5481,5481,7197,904,904,904,1034,1034,1034,438,1,1,1,2,2,2,9,88,88,88,168,168,168,110,5,5,5,9,9,9,15,395,395,395,1159,1159,1159,1503,1804,1804,1804,1927,1927,1927,1966,786,786,786,646,646,646,541,927,927,927,1237,1237,1237,1346
G3400290715302,2010,New Jersey,34,Ocean County,029,715302,3087,3087,3087,5018,5018,5018,5830,1841,1841,1841,3762,3762,3762,5136,670,670,670,385,385,385,172,9,9,9,10,10,10,19,21,21,21,38,38,38,21,0,0,0,0,0,0,0,546,546,546,480,480,480,383,NA,343,343,343,99,1491,1491,1491,3155,3155,3155,4618,579,579,579,365,365,365,154,9,9,9,0,0,0,1,13,13,13,28,28,28,18,4,4,4,23,23,23,1,991,991,991,1447,1447,1447,1038,1098,1098,1098,1251,1251,1251,1282,99,99,99,125,125,125,118,898,898,898,1060,1060,1060,1112
G3400290715401,2010,New Jersey,34,Ocean County,029,715401,3789.03,3726,3793,5057,5057,5057,6474,3627.44,3571,3631,4813,4813,4813,5964,94.58,88,95,124,124,124,233,3,3,3,2,2,2,4,48,48,48,23,23,23,29,1,1,1,0,0,0,1,15,15,15,29,29,29,189,NA,66,66,66,54,3545.86,3496,3549,4751,4751,4751,5856,86.7,82,87,126,126,126,240,3,3,3,1,1,1,1,44,44,44,22,22,22,29,2,2,2,5,5,5,17,107.47,99,108,152,152,152,331,1108.04,1077,1110,1129,1129,1129,1199,918.99,903,920,859,859,859,786,148.11,134,149,239,239,239,325
G3400290715402,2010,New Jersey,34,Ocean County,029,715402,4440.01,4440,4460,5127,5127,5144,6285,4232.01,4232,4252,4963,4963,4980,6117,129,129,129,31,31,31,55,2,2,2,7,7,7,1,19,19,19,9,9,9,5,0,0,0,1,1,1,0,58,58,58,47,47,47,70,NA,69,69,69,37,4094.01,4094,4114,4890,4890,4906,6015,121,121,121,33,33,33,49,2,2,2,7,7,7,0,19,19,19,9,9,9,5,1,1,1,11,11,11,0,203,203,203,177,177,178,216,1211,1211,1217,1240,1240,1246,1371,209,209,214,228,228,233,228,955,955,956,950,950,951,1092
G3400290715500,2010,New Jersey,34,Ocean County,029,715500,4715.99,4696,4716,5433,5416,5433,11736,4314.99,4295,4315,4703,4686,4703,11217,304,304,304,430,430,430,232,13,13,13,1,1,1,20,40,40,40,51,51,51,31,4,4,4,0,0,0,0,40,40,40,157,157,157,169,NA,91,91,91,67,4167.99,4148,4168,4525,4509,4525,10861,293,293,293,431,431,431,211,13,13,13,1,1,1,3,43,43,43,51,51,51,24,5,5,5,13,13,13,2,194,194,194,412,411,412,635,1714,1708,1714,1800,1794,1800,2485,1469,1464,1469,1519,1514,1519,1534,147,146,147,202,201,202,788
G3400290715600,2010,New Jersey,34,Ocean County,029,715600,2615.02,2615,2623,3589,3589,3589,6338,1158.02,1158,1166,2013,2013,2013,5099,1102,1102,1102,1116,1116,1116,661,3,3,3,9,9,9,6,70,70,70,48,48,48,37,4,4,4,0,0,0,0,278,278,278,272,272,272,429,NA,131,131,131,106,1033.02,1033,1041,1562,1562,1562,4391,1050,1050,1050,1109,1109,1109,626,3,3,3,0,0,0,5,67,67,67,46,46,46,36,5,5,5,12,12,12,16,457,457,457,860,860,860,1264,769.01,769,771,1014,1014,1014,1319,406.01,406,408,489,489,489,456,322,322,322,436,436,436,764
G3400290715700,2010,New Jersey,34,Ocean County,029,715700,2378,2378,2378,3643,3643,3643,8857,2076,2076,2076,2556,2556,2556,7533,208,208,208,628,628,628,624,4,4,4,4,4,4,30,52,52,52,113,113,113,92,0,0,0,0,0,0,0,38,38,38,193,193,193,446,NA,149,149,149,132,1959,1959,1959,2372,2372,2372,6505,202,202,202,636,636,636,593,4,4,4,2,2,2,6,40,40,40,118,118,118,91,7,7,7,10,10,10,2,166,166,166,505,505,505,1660,854,854,854,1490,1490,1490,2914,607,607,607,1039,1039,1039,1724,172,172,172,328,328,328,932
G3400290715800,2010,New Jersey,34,Ocean County,029,715800,2486.98,2479,2487,2933,2933,2933,5547,2162.98,2155,2163,2179,2179,2179,4382,171,171,171,436,436,436,501,6,6,6,12,12,12,47,78,78,78,122,122,122,115,0,0,0,1,1,1,0,69,69,69,111,111,111,409,NA,72,72,72,93,1994.98,1987,1995,1950,1950,1950,3777,154,154,154,407,407,407,485,6,6,6,5,5,5,0,77,77,77,121,121,121,114,2,2,2,16,16,16,2,253,253,253,434,434,434,1169,772.99,771,773,950,950,950,1397,601.99,600,602,639,639,639,670,140,140,140,279,279,279,652
G3400290715901,2010,New Jersey,34,Ocean County,029,715901,633,633,633,1163,1163,1163,2232,612,612,612,938,938,938,1562,11,11,11,132,132,132,323,0,0,0,0,0,0,9,7,7,7,54,54,54,113,0,0,0,0,0,0,0,3,3,3,20,20,20,129,NA,19,19,19,96,586,586,586,903,903,903,1390,11,11,11,142,142,142,349,0,0,0,0,0,0,4,3,3,3,54,54,54,112,0,0,0,5,5,5,0,33,33,33,59,59,59,377,505,505,505,601,601,601,1299,212,212,212,335,335,335,498,139,139,139,225,225,225,646
G3400290715902,2010,New Jersey,34,Ocean County,029,715902,4295,4295,4295,4443,4443,4443,4400,4126,4126,4126,4163,4163,4163,3648,119,119,119,145,145,145,437,3,3,3,1,1,1,7,10,10,10,24,24,24,35,0,0,0,1,1,1,0,37,37,37,54,54,54,220,NA,55,55,55,53,4015,4015,4015,4006,4006,4006,3229,119,119,119,155,155,155,425,3,3,3,1,1,1,1,9,9,9,24,24,24,30,0,0,0,0,0,0,2,149,149,149,257,257,257,713,3043,3043,3043,3122,3122,3122,3080,2338,2338,2338,2274,2274,2274,1890,318,318,318,531,531,531,774
G3400290716000,2010,New Jersey,34,Ocean County,029,716000,1989,1989,1989,4597,4597,4597,4217,1984,1984,1984,4561,4561,4561,4102,2,2,2,15,15,15,62,0,0,0,0,0,0,2,3,3,3,8,8,8,27,0,0,0,0,0,0,0,0,0,0,1,1,1,10,NA,12,12,12,14,1971,1971,1971,4518,4518,4518,4009,2,2,2,21,21,21,62,0,0,0,0,0,0,2,3,3,3,9,9,9,28,0,0,0,0,0,0,2,13,13,13,49,49,49,114,1603,1603,1603,3035,3035,3035,3057,1300,1300,1300,2675,2675,2675,2450,81,81,81,151,151,151,293
G3400290717001,2010,New Jersey,34,Ocean County,029,717001,2932,2932,2932,3138,3138,3138,2882,2762,2762,2762,2862,2862,2862,2525,91,91,91,125,125,125,147,4,4,4,2,2,2,5,57,57,57,68,68,68,93,0,0,0,0,0,0,1,18,18,18,40,40,40,56,NA,41,41,41,55,2671,2671,2671,2766,2766,2766,2365,79,79,79,132,132,132,145,4,4,4,2,2,2,1,57,57,57,67,67,67,94,0,0,0,10,10,10,9,121,121,121,161,161,161,268,833,833,833,931,931,931,899,813,813,813,897,897,897,858,11,11,11,22,22,22,24
G3400290717002,2010,New Jersey,34,Ocean County,029,717002,3948,3948,3948,4404,4404,4404,4614,3622,3622,3622,3770,3770,3770,3845,197,197,197,251,251,251,345,16,16,16,10,10,10,5,77,77,77,177,177,177,187,2,2,2,1,1,1,4,34,34,34,100,100,100,87,NA,95,95,95,141,3416,3416,3416,3592,3592,3592,3588,190,190,190,260,260,260,366,12,12,12,7,7,7,4,79,79,79,182,182,182,191,1,1,1,0,0,0,6,250,250,250,363,363,363,459,1257,1257,1257,1387,1387,1387,1767,812,812,812,884,884,884,888,390,390,390,476,476,476,769
G3400290717101,2010,New Jersey,34,Ocean County,029,717101,4501.93,4401,4503,6616.02,6399,6620,8778,4239.93,4139,4241,6044.5,5843,6048,7708,120,120,120,225.71,220,226,423,9,9,9,7,7,7,12,82,82,82,150.9,149,151,361,0,0,0,0,0,0,2,51,51,51,79,73,79,104,NA,108.9,107,109,168,4087.93,3987,4089,5805.04,5621,5808,7234,113,113,113,230.66,224,231,418,9,9,9,5,5,5,9,78,78,78,151.9,150,152,357,2,2,2,8,8,8,9,212,212,212,415.42,391,416,751,1407.68,1376,1408,1963.74,1897,1965,2623,1212.72,1188,1213,1822.93,1764,1824,2354,96.96,91,97,90.9,85,91,206
G3400290717102,2010,New Jersey,34,Ocean County,029,717102,1909,1909,1909,1983,1983,1983,4335,1846,1846,1846,1860,1860,1860,3864,43,43,43,49,49,49,195,2,2,2,2,2,2,4,7,7,7,34,34,34,151,0,0,0,0,0,0,1,11,11,11,9,9,9,56,NA,29,29,29,64,1767,1767,1767,1759,1759,1759,3622,43,43,43,55,55,55,215,2,2,2,2,2,2,2,6,6,6,34,34,34,151,1,1,1,1,1,1,3,90,90,90,132,132,132,342,706,706,706,727,727,727,1877,621,621,621,638,638,638,1585,41,41,41,54,54,54,196
G3400290717200,2010,New Jersey,34,Ocean County,029,717200,3926.87,3681,3935,6573.23,6296,6582,8395,3723.92,3490,3732,6045.49,5784,6054,7637,98.96,94,99,261.89,256,262,342,7,7,7,12,12,12,11,68.99,62,69,154.86,148,155,234,0,0,0,0,0,0,1,28,28,28,23,23,23,54,NA,75.98,73,76,116,3596.92,3367,3605,5842.5,5585,5851,7327,91.96,87,92,270.89,265,271,356,6,6,6,9,9,9,10,68.99,62,69,161.86,155,162,236,4,4,4,5,5,5,3,159,155,159,283.97,277,284,463,1470.48,1390,1473,2243.48,2160,2247,3125,1262.62,1192,1265,2037.57,1961,2041,2792,137.89,132,138,143.94,139,144,171
