GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,CL8AA1990,CL8AA1990L,CL8AA1990U,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CY8AA1990,CY8AA1990L,CY8AA1990U,CY8AA2000,CY8AA2000L,CY8AA2000U,CY8AA2010,CY8AB1990,CY8AB1990L,CY8AB1990U,CY8AB2000,CY8AB2000L,CY8AB2000U,CY8AB2010,CY8AC1990,CY8AC1990L,CY8AC1990U,CY8AC2000,CY8AC2000L,CY8AC2000U,CY8AC2010,CY8AD1990,CY8AD1990L,CY8AD1990U,CY8AD2000,CY8AD2000L,CY8AD2000U,CY8AD2010,CY8AE1990,CY8AE1990L,CY8AE1990U,CY8AE2000,CY8AE2000L,CY8AE2000U,CY8AE2010,CY8AF1990,CY8AF1990L,CY8AF1990U,CY8AF2000,CY8AF2000L,CY8AF2000U,CY8AF2010,CM7AA1990,CM7AA1990L,CM7AA1990U,CM7AA2000,CM7AA2000L,CM7AA2000U,CM7AA2010,CN1AA1990,CN1AA1990L,CN1AA1990U,CN1AA2000,CN1AA2000L,CN1AA2000U,CN1AA2010,CN1AB1990,CN1AB1990L,CN1AB1990U,CN1AB2000,CN1AB2000L,CN1AB2000U,CN1AB2010
G4201290802400,2010,Pennsylvania,42,Westmoreland County,129,802400,4192.3,3166,5042,4340.87,3339,4690,4369,4146.72,3126,4926,4300.07,3307,4636,4287,11.06,9,12,5,4,6,24,4,2,4,4.99,3,5,4,29.52,28,99,15.86,14,28,18,0,0,0,0,0,0,0,1,1,1,0,0,0,9,NA,14.95,11,15,27,4144.63,3124,4920,4298.06,3305,4634,4281,11.06,9,12,6,5,7,37,4,2,4,4.99,3,5,4,29.52,28,99,15.86,14,28,17,0,0,0,0,0,0,0,3.09,3,7,15.96,12,16,30,1562.15,1165,1837,1660.46,1246,1829,1902,1338.74,1002,1583,1434.95,1078,1570,1516,169.04,122,184,154.38,120,175,256
G4201290802500,2010,Pennsylvania,42,Westmoreland County,129,802500,2615.42,2610,3177,2418.26,2413,2925,2234,2556.4,2551,3116,2336.18,2331,2837,2105,50.02,50,52,42.01,42,43,69,2,2,2,4.01,4,5,3,4,4,4,4,4,4,1,0,0,0,2,2,2,0,3,3,3,3,3,3,3,NA,27.05,27,31,53,2544.4,2539,3104,2328.19,2323,2830,2111,46.02,46,48,60.01,60,61,108,2,2,2,4.01,4,5,3,4,4,4,6,6,6,1,0,0,0,3,3,3,0,19,19,19,17.04,17,20,11,1148.05,1146,1366,1117.34,1115,1330,1117,824.87,823,1011,774.97,773,957,754,262.12,262,287,285.15,285,300,286
G4201290802600,2010,Pennsylvania,42,Westmoreland County,129,802600,4063.11,4063,4372,3920.16,3920,4046,3627,3945.11,3945,4250,3740.15,3740,3865,3208,100,100,102,114,114,114,223,3,3,5,4,4,5,6,3,3,3,0,0,0,2,0,0,0,2,2,2,4,12,12,12,10,10,10,17,NA,50,50,50,167,3944.11,3944,4249,3749.15,3749,3874,3215,100,100,102,148,148,148,353,3,3,5,4,4,5,4,3,3,3,0,0,0,7,12,12,12,4,4,4,6,1,1,1,15,15,15,42,1796.05,1796,1921,1768.06,1768,1819,1730,1044.04,1044,1147,1058.05,1058,1100,956,603.01,603,620,550.01,550,557,581
G4201290802700,2010,Pennsylvania,42,Westmoreland County,129,802700,2199.56,1774,2836,2013.99,1636,2150,2012,2187.63,1764,2818,1971.13,1600,2101,1907,9,9,9,29.87,28,36,64,0,0,0,1,1,1,3,1.95,1,8,4,0,4,10,0,0,0,0,0,0,0,0.98,0,1,0,0,0,0,NA,8,7,8,28,2182.68,1761,2811,1971.91,1604,2100,1902,9,9,9,31.87,30,38,87,0,0,0,1,1,1,3,1.95,1,8,4,0,4,10,0,0,0,0,0,0,0,5.93,3,8,5.22,1,7,10,974.3,816,1227,983.93,833,1040,998,761.93,615,971,754.58,615,801,726,168.01,160,198,166.02,159,173,215
G4201290802800,2010,Pennsylvania,42,Westmoreland County,129,802800,2859.38,2774,2892,2760.74,2729,2785,2256,2509.38,2424,2542,2286.74,2255,2311,1783,331,331,331,371,371,371,320,7,7,7,0,0,0,3,2,2,2,2,2,2,3,0,0,0,0,0,0,0,10,10,10,12,12,12,17,NA,89,89,89,130,2508.38,2423,2541,2301.74,2270,2326,1797,331,331,331,427,427,427,421,7,7,7,3,3,3,2,2,2,2,2,2,2,3,10,10,10,11,11,11,7,1,1,1,16,16,16,26,1445.84,1412,1456,1458.28,1445,1468,1295,631.29,605,641,597.45,585,607,477,635.58,630,636,626.83,626,627,539
G4201290802900,2010,Pennsylvania,42,Westmoreland County,129,802900,4318.56,3697,4369,5069.85,4398,5123,5382,4302.57,3683,4353,4991.91,4328,5045,5271,2.99,1,3,25,21,25,28,2,2,2,1.97,0,2,3,4,4,4,16.98,16,17,33,1,1,1,2,2,2,1,6,6,6,9.99,9,10,2,NA,22,22,22,44,4294.78,3679,4345,4980.96,4323,5034,5268,2.99,1,3,29,25,29,36,2,2,2,1.97,0,2,3,5,5,5,17.98,17,18,36,0,0,0,1.99,1,2,1,13.79,10,14,37.95,32,38,38,1684.5,1451,1701,1948.8,1699,1966,2229,1343.74,1177,1358,1620.67,1437,1636,1809,274.22,217,276,255.43,198,257,308
G4201290803000,2010,Pennsylvania,42,Westmoreland County,129,803000,5531.15,3624,6807,5252.44,4312,6091,4819,5443.43,3611,6701,5090.08,4204,5912,4669,67.69,7,79,44.65,22,45,50,1,1,1,8,8,8,1,13.05,2,16,52.18,43,58,37,0.99,0,1,1,1,1,3,5,3,9,15.74,5,16,21,NA,40.78,29,51,38,5423.48,3598,6681,5095.53,4210,5922,4657,67.69,7,79,49.66,26,51,66,1,1,1,8,8,8,1,14.04,2,17,58.17,45,64,40,2.98,1,4,9.76,4,10,7,21.96,15,25,31.32,19,36,48,2678.79,1654,3107,2666.49,2112,2984,2614,1137.15,901,1537,1172.55,1025,1460,1067,1379.79,656,1398,1288.33,941,1310,1327
G4201290803100,2010,Pennsylvania,42,Westmoreland County,129,803100,4030.32,3815,5086,4263.45,4028,4760,4125,4006.3,3791,5026,4225.82,3991,4716,4055,18,18,47,13,13,13,24,1,1,1,0,0,0,0,1.01,1,7,13,13,13,14,0.01,0,1,0,0,0,0,4,4,4,0,0,0,3,NA,11.62,11,18,29,3982.3,3767,5002,4213.6,3979,4709,4032,18,18,47,19.15,19,20,41,1,1,1,0,0,0,0,1.02,1,6,13,13,13,15,3,3,3,0,0,0,3,25,25,27,17.69,17,18,34,1598.14,1512,2023,1743.04,1641,1968,1820,1248.99,1172,1541,1387.44,1303,1565,1393,302.49,296,409,287.09,275,328,335
G4201290803200,2010,Pennsylvania,42,Westmoreland County,129,803200,2638.99,1821,2950,2785.43,2195,3179,2470,2629.98,1814,2940,2762.36,2175,3153,2441,2,2,2,4,3,4,6,4,2,4,2,1,2,0,3,3,4,12,12,12,4,0,0,0,0,0,0,0,0,0,0,0.06,0,2,4,NA,5.02,4,6,15,2624.98,1809,2935,2756.38,2171,3147,2437,2,2,2,4,3,4,15,4,2,4,1,1,1,0,3,3,4,12,12,12,4,0,0,0,0,0,0,3,5,5,5,12.06,8,15,11,1013.48,693,1138,1145,913,1305,1143,868.12,595,978,1001.72,798,1140,900,111.99,80,123,84.42,68,101,126
G4201290803301,2010,Pennsylvania,42,Westmoreland County,129,803301,6361.29,6300,7168,5869.61,5822,6358,5957,6317.73,6257,7097,5795.52,5751,6244,5830,17.45,17,37,15.26,13,40,38,0,0,2,2,2,2,6,22.11,22,28,24.57,24,35,33,0,0,0,3,3,3,0,4,4,4,4,4,4,11,NA,25.26,25,30,39,6308.49,6248,7086,5784.52,5740,6234,5835,17.45,17,37,16.36,14,43,55,0,0,2,2,2,2,4,22.11,22,28,29.57,29,40,33,0,0,0,3,3,3,4,13.24,13,15,34.16,34,36,26,2367.89,2343,2745,2490.88,2469,2722,2680,1978.03,1966,2240,2057.25,2045,2203,2118,339.95,328,426,338.91,330,412,447
