GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,RES_ONLYA,TRUSTA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,FL5001
G3400010010800,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010800,010800,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 108,2614
G3400010010900,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,010900,010900,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 109,4945
G3400010011000,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011000,011000,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 110,2229
G3400010011100,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011100,011100,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 111,2816
G3400010011201,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011201,011201,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 112.01,1972
G3400010011202,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011202,011202,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 112.02,7436
G3400010011300,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011300,011300,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 113,3873
G3400010011401,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011401,011401,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 114.01,4542
G3400010011402,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011402,011402,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 114.02,9900
G3400010011500,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011500,011500,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 115,6057
G3400010011600,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011600,011600,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 116,4310
G3400010011701,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011701,011701,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 117.01,6350
G3400010011702,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011702,011702,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 117.02,3451
G3400010011801,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011801,011801,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 118.01,8389
G3400010011802,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011802,011802,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 118.02,7203
G3400010011803,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011803,011803,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 118.03,4657
G3400010011900,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,011900,011900,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 119,7630
G3400010012000,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012000,012000,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 120,4149
G3400010012100,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012100,012100,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 121,2913
G3400010012200,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012200,012200,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 122,4795
G3400010012302,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012302,012302,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 123.02,2675
G3400010012401,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012401,012401,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 124.01,2936
G3400010012402,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012402,012402,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 124.02,2114
G3400010012501,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012501,012501,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 125.01,2419
G3400010012502,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012502,012502,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 125.02,1631
G3400010012601,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012601,012601,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 126.01,1748
G3400010012602,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012602,012602,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 126.02,1575
G3400010012701,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012701,012701,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 127.01,3692
G3400010012702,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012702,012702,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 127.02,1825
G3400010012801,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012801,012801,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 128.01,4413
G3400010012802,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012802,012802,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 128.02,1684
G3400010012900,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,012900,012900,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 129,1054
G3400010013000,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,013000,013000,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 130,4400
G3400010013100,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,013100,013100,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 131,3793
G3400010013200,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,013200,013200,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 132,5991
G3400010013300,2000,1,2,New Jersey,34,Atlantic,001,NA,NA,013300,013300,NA,NA,NA,NA,NA,NA,NA,NA,6162,560,9999,NA,NA,NA,NA,NA,NA,Census Tract 133,6919
G3400030001000,2000,1,2,New Jersey,34,Bergen,003,NA,NA,001000,001000,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 10,6699
G3400030002100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,002100,002100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 21,2183
G3400030002200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,002200,002200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 22,4851
G3400030002300,2000,1,2,New Jersey,34,Bergen,003,NA,NA,002300,002300,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 23,5751
G3400030003100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,003100,003100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 31,5057
G3400030003200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,003200,003200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 32,4484
G3400030003300,2000,1,2,New Jersey,34,Bergen,003,NA,NA,003300,003300,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 33,6676
G3400030003401,2000,1,2,New Jersey,34,Bergen,003,NA,NA,003401,003401,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 34.01,2536
G3400030003402,2000,1,2,New Jersey,34,Bergen,003,NA,NA,003402,003402,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 34.02,3393
G3400030003500,2000,1,2,New Jersey,34,Bergen,003,NA,NA,003500,003500,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 35,4101
G3400030004000,2000,1,2,New Jersey,34,Bergen,003,NA,NA,004000,004000,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 40,8249
G3400030005000,2000,1,2,New Jersey,34,Bergen,003,NA,NA,005000,005000,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 50,5917
G3400030006100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,006100,006100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 61,6506
G3400030006200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,006200,006200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 62,8939
G3400030006300,2000,1,2,New Jersey,34,Bergen,003,NA,NA,006300,006300,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 63,7562
G3400030007001,2000,1,2,New Jersey,34,Bergen,003,NA,NA,007001,007001,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 70.01,3785
G3400030007002,2000,1,2,New Jersey,34,Bergen,003,NA,NA,007002,007002,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 70.02,4598
G3400030008000,2000,1,2,New Jersey,34,Bergen,003,NA,NA,008000,008000,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 80,7746
G3400030009100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,009100,009100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 91,4845
G3400030009200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,009200,009200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 92,3390
G3400030010100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,010100,010100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 101,6265
G3400030010200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,010200,010200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 102,4017
G3400030010300,2000,1,2,New Jersey,34,Bergen,003,NA,NA,010300,010300,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 103,7221
G3400030011100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,011100,011100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 111,4412
G3400030011200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,011200,011200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 112,4683
G3400030011300,2000,1,2,New Jersey,34,Bergen,003,NA,NA,011300,011300,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 113,4145
G3400030011400,2000,1,2,New Jersey,34,Bergen,003,NA,NA,011400,011400,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 114,5685
G3400030012000,2000,1,2,New Jersey,34,Bergen,003,NA,NA,012000,012000,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 120,8716
G3400030013000,2000,1,2,New Jersey,34,Bergen,003,NA,NA,013000,013000,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 130,7677
G3400030014000,2000,1,2,New Jersey,34,Bergen,003,NA,NA,014000,014000,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 140,7197
G3400030015100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,015100,015100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 151,2405
G3400030015200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,015200,015200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 152,6179
G3400030015300,2000,1,2,New Jersey,34,Bergen,003,NA,NA,015300,015300,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 153,6258
G3400030015400,2000,1,2,New Jersey,34,Bergen,003,NA,NA,015400,015400,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 154,5268
G3400030015500,2000,1,2,New Jersey,34,Bergen,003,NA,NA,015500,015500,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 155,6093
G3400030016000,2000,1,2,New Jersey,34,Bergen,003,NA,NA,016000,016000,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 160,5322
G3400030017100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,017100,017100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 171,7199
G3400030017200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,017200,017200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 172,5827
G3400030017300,2000,1,2,New Jersey,34,Bergen,003,NA,NA,017300,017300,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 173,5719
G3400030017400,2000,1,2,New Jersey,34,Bergen,003,NA,NA,017400,017400,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 174,5458
G3400030017500,2000,1,2,New Jersey,34,Bergen,003,NA,NA,017500,017500,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 175,7434
G3400030018100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,018100,018100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 181,7015
G3400030018200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,018200,018200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 182,6240
G3400030019101,2000,1,2,New Jersey,34,Bergen,003,NA,NA,019101,019101,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 191.01,7546
G3400030019102,2000,1,2,New Jersey,34,Bergen,003,NA,NA,019102,019102,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 191.02,2932
G3400030019201,2000,1,2,New Jersey,34,Bergen,003,NA,NA,019201,019201,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 192.01,6841
G3400030019202,2000,1,2,New Jersey,34,Bergen,003,NA,NA,019202,019202,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 192.02,1368
G3400030019301,2000,1,2,New Jersey,34,Bergen,003,NA,NA,019301,019301,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 193.01,8458
G3400030019302,2000,1,2,New Jersey,34,Bergen,003,NA,NA,019302,019302,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 193.02,8316
G3400030020100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,020100,020100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 201,3808
G3400030020200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,020200,020200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 202,6614
G3400030021100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,021100,021100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 211,6557
G3400030021200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,021200,021200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 212,5045
G3400030021300,2000,1,2,New Jersey,34,Bergen,003,NA,NA,021300,021300,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 213,4261
G3400030021400,2000,1,2,New Jersey,34,Bergen,003,NA,NA,021400,021400,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 214,4674
G3400030021500,2000,1,2,New Jersey,34,Bergen,003,NA,NA,021500,021500,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 215,4857
G3400030021600,2000,1,2,New Jersey,34,Bergen,003,NA,NA,021600,021600,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 216,4392
G3400030022100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,022100,022100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 221,4015
G3400030022200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,022200,022200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 222,7531
G3400030023100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,023100,023100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 231,2988
G3400030023200,2000,1,2,New Jersey,34,Bergen,003,NA,NA,023200,023200,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 232,6513
G3400030023300,2000,1,2,New Jersey,34,Bergen,003,NA,NA,023300,023300,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 233,7368
G3400030023401,2000,1,2,New Jersey,34,Bergen,003,NA,NA,023401,023401,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 234.01,3586
G3400030023402,2000,1,2,New Jersey,34,Bergen,003,NA,NA,023402,023402,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 234.02,5484
G3400030023500,2000,1,2,New Jersey,34,Bergen,003,NA,NA,023500,023500,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 235,8239
G3400030023600,2000,1,2,New Jersey,34,Bergen,003,NA,NA,023600,023600,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 236,8499
G3400030024100,2000,1,2,New Jersey,34,Bergen,003,NA,NA,024100,024100,NA,NA,NA,NA,NA,NA,NA,NA,5602,875,9999,NA,NA,NA,NA,NA,NA,Census Tract 241,5482
