V1,V2
-26886.787532802045,116
-26746.021744286383,115
-26761.443191646693,114
-26912.423547375336,114
-26777.83121079118,114
-26737.492791339442,113
-26820.108057996084,113
-26874.12362300772,114
-26787.94929838963,114
-26724.39585869889,115
-26762.87154876048,113
-26856.63308043698,115
-26819.86789169398,113
-26846.389189484184,114
-26801.15280209513,115
-26756.745444966033,115
-26741.54766366568,113
-26807.616613111688,113
-26731.808737974065,114
-26786.243229822496,114
-26789.62049828148,114
-26756.66359697735,114
-26867.080531201464,116
-26847.949561906327,115
-26816.1015166128,115
-26814.511380321914,114
-26763.937941741147,114
-26750.778680384425,113
-26744.107744752364,114
-26798.375544668197,115
-26795.306469624684,113
-26755.22616294618,116
-26886.94943542361,113
-26802.336250074244,114
-26720.302041841875,114
-26732.052070623562,114
-26733.679336523484,113
-26800.43341545091,115
-26681.688433873092,113
-26800.621305749944,114
-26878.583713763128,114
-26743.47049834393,115
-26732.411822204183,114
-26830.778784920094,113
-26890.79148172262,115
-26671.71775107,113
-26825.331594063795,115
-26829.151319912584,114
-26867.887146278397,113
-26869.69636515996,114
-26776.296809861393,114
-26798.040912605607,114
-26737.097331156805,114
-26756.816675894173,115
-26767.782720461488,116
-26782.048971342545,113
-26793.348004053387,114
-26817.68078036663,114
-26813.916104861102,114
-26765.86665358605,115
-26735.032720204104,114
-26731.437054526505,114
-26714.474219265754,113
-26686.80672938435,115
-26774.40021195782,114
-26662.37334826337,114
-26713.966943638847,115
-26833.252894518948,113
-26737.16837205362,113
-26856.249366469434,113
-26866.959409502786,114
-26786.382932058947,114
-26829.993499091324,114
-26774.4109730691,114
-26775.530221582456,113
-26886.701559917787,114
-26852.411115862877,113
-26724.961750062335,114
-26765.763395905837,114
-26740.65715881335,113
-26822.486305032573,114
-26835.808613217727,114
-26807.80196403629,114
-26777.539438526033,113
-26778.89592614546,114
-26742.059225701232,115
-26854.649632679215,113
-26713.691438230482,115
-26799.6106445435,113
-26812.124014344583,114
-26769.017063488183,114
-26843.484266008447,115
-26754.544082323686,113
-26852.177097094784,113
-26853.34925006469,116
-26785.742681614203,114
-26676.743173117135,116
-26860.84591005019,114
-26711.405237576288,114
-26736.104931541337,113
-26824.71517311314,115
-26795.30605635256,114
-26712.274758137173,113
-26758.636136169323,115
-26864.883449308694,114
-26843.107429609565,113
-26874.635673617435,114
-26692.326941643903,113
-26788.47209071058,114
-26881.994932894362,113
-26764.733071921146,114
-26814.230900988092,115
-26694.821206987217,114
-26770.3801587421,115
-26823.49324005111,114
-26740.488433237046,114
-26813.52772483727,115
-26775.72277280297,114
-26884.411688665088,114
-26805.973131136845,113
-26739.684303878876,113
-26832.476121719526,114
-26821.711328397203,113
-26768.472312644284,115
-26777.07463473114,113
-26799.38716145227,114
-26751.273569021767,114
-26867.37087151626,113
-26780.459666747287,114
-26792.201824385484,114
-26840.806716433686,116
-26824.474606394368,115
-26820.588621129686,114
-26749.723630510885,115
-26850.379606342653,116
-26762.57880298317,115
-26759.63459201331,114
-26771.734422287285,116
-26765.398088393642,114
-26780.40972071325,113
-26774.947426160223,114
-26821.98979510242,115
-26776.719006663436,114
-26733.480741697043,114
-26745.910494375956,115
-26760.883268490106,116
-26830.818987877807,114
-26738.408064414063,114
-26762.682656600122,115
-26757.684603066024,113
-26819.305528028613,114
-26865.7611948584,113
-26683.554748487208,113
-26805.108618735416,114
-26821.48550455106,113
-26712.700979279787,113
-26811.58778651181,114
-26849.994029862868,114
-26785.56358432071,113
-26710.760658972238,115
-26827.499761022475,114
-26781.133779305263,115
-26770.957292188737,114
-26847.07814616072,114
-26746.103029348098,114
-26745.166265903004,114
-26853.255652546843,115
-26825.780078686013,114
-26774.900089492454,114
-26826.21068748208,115
