geoid,year,pop,hu,own,vhu,rm,em,pov199,pov99,mhv,mhi,unemp
34005702500,2010,6.069,2.38,68.21569487067076,4.159663865546218,26.89075630252101,8.288021090789256,13.834788448623236,3.626595030221625,319.0880000000001,82.20016,11.375069871436557
34005702601,2010,4.058,1.655,80.33205619412516,5.377643504531722,26.21981271562346,9.339576145884672,17.006802721088434,3.8095238095238098,261.072,79.18400000000001,9.448123620309051
34005702603,2010,2.316,0.968,47.183098591549296,11.983471074380166,31.044905008635578,11.312607944732298,81.38987043580683,43.93404004711425,186.14400000000003,36.68,21
34005702700,2010,8.813,3.291,92.17527386541471,2.917046490428441,38.99920571882446,8.839214796323613,26.45641699518178,4.467805519053877,309.68000000000006,100.47856000000002,5.187022112006614
34005702801,2010,2.077,0.746,93.54838709677419,4.423592493297587,83.82282137698603,8.570052961001444,15.789473684210526,2.923976608187134,215.26400000000004,73.70048000000001,13.167587476979742
34005702802,2010,3.39,1.177,92.37588652482269,4.163126593033136,82.50737463126843,7.817109144542774,20.113314447592067,6.6572237960339935,250.99200000000002,65.89744,16.040955631399317
34005702803,2010,3.936,1.406,91.95830230826509,4.480796586059744,82.01219512195121,8.765243902439025,8.428571428571429,0.8571428571428572,215.48800000000003,71.81776,10.036978341257264
34005702804,2010,2.647,1.004,93.3058702368692,3.286852589641434,80.69512655836797,8.386853041178693,34.40677966101695,0,235.76000000000002,77.30800000000002,10.217534607778509
34005702805,2010,3.812,1.314,91.38755980861244,4.5662100456621,83.02728226652675,8.36831059811123,35.516093229744726,12.763596004439512,217.95200000000003,67.9,8.542199488491049
34005702806,2010,3.792,1.269,88.3445945945946,6.698187549251379,82.88502109704642,10.443037974683545,31.852551984877124,21.550094517958414,209.21600000000004,66.90768000000001,14.493534482758621
34005702807,2010,3.184,1.292,62.632869991823384,5.340557275541795,79.30276381909547,10.835427135678392,51.16598079561042,18.381344307270233,195.66400000000002,64.98128000000001,5.797967722653915
34005702808,2010,3.356,1.154,90.11090573012939,6.239168110918544,83.99880810488676,8.730631704410012,25.37313432835821,13.975576662143826,210.00000000000003,71.07744,14.97536945812808
34005702809,2010,1.402,0.653,77.72357723577235,5.819295558958652,84.73609129814551,5.1355206847360915,59.83379501385041,31.301939058171747,164.19200000000004,67.0096,9.024390243902438
34005702810,2010,1.405,0.486,93.89978213507625,5.555555555555555,82.56227758007117,8.2562277580071175,4.301075268817205,0,322.8960000000001,102.70960000000001,13.142174432497015
34005702811,2010,2.628,0.941,95.17543859649122,3.0818278427205104,85.69254185692542,7.077625570776255,7.474747474747474,2.6262626262626263,311.1360000000001,117.81952,7.697501688048616
34005702905,2010,4.12,1.834,66.80280046674446,6.543075245365322,16.723300970873787,4.2961165048543695,6.392199349945829,6.392199349945829,372.0640000000001,100.91984000000001,5.472013366750208
34005702906,2010,2.14,0.671,95.1937984496124,3.8748137108792844,15.74766355140187,3.691588785046729,24.440619621342513,7.573149741824441,346.19200000000006,120.58704,7.577092511013215
34005702907,2010,2.935,1.267,96.51539708265803,2.6045777426992895,6.712095400340716,2.2487223168654173,6.890756302521009,3.5294117647058822,354.92800000000005,76.26304,5.014326647564469
34005702908,2010,4.423,2.076,95.86485123550177,4.479768786127168,8.568844675559575,2.351345240786796,0.7963594994311717,0,360.5280000000001,72.64992000000001,5.520581113801453
34005702909,2010,6.191,2.565,91.18468288791384,2.2612085769980506,25.50476498142465,4.603456630592796,11.119691119691119,7.4131274131274125,316.73600000000005,100.89520000000002,7.230355542276666
34005702910,2010,5.585,2.167,84.5532319391635,2.9072450392247347,20.555058191584603,4.816472694717994,8.114199849737041,3.5311795642374153,429.1840000000001,100.12240000000001,7.645149657410746
34005702913,2010,4.401,2.571,66.55724251128436,5.211979774406846,31.22017723244717,6.021358782094978,2.371541501976284,0,216.60800000000003,83.58672,3.2481751824817517
34005702914,2010,4.205,1.558,92.62948207171314,3.3376123234916557,18.12128418549346,5.089179548156956,9.528585757271815,1.9057171514543632,342.38400000000007,112.41440000000001,6.638418079096045
34005702915,2010,4.262,1.811,73.54130560369728,4.417448923246825,31.04176442984514,6.8981698732989205,10.842293906810035,7.885304659498208,252.89600000000002,79.38560000000001,5.608546356352537
34005702917,2010,1.911,0.834,89.97555012224939,1.9184652278177456,22.448979591836736,3.506017791732077,4.1062801932367154,4.1062801932367154,368.2560000000001,121.19632,2.571166207529844
34005702918,2010,1.691,0.895,83.81839348079161,4.022346368715084,23.536369012418685,5.14488468361916,0,0,250.65600000000003,99.48960000000001,4.914004914004914
34005703000,2010,6.11,2.305,90.66547565877624,2.863340563991323,15.220949263502456,5.073649754500818,15.766423357664234,0,375.87200000000007,97.49264000000001,5.640050697084917
34005703102,2010,2.673,0.918,89.81900452488688,3.7037037037037033,15.974560419004863,2.9180695847362514,0,0,548.912,147.05376,4.233700254022015
34005703103,2010,4.768,2.043,49.71867007672634,4.30739109153206,43.89681208053691,8.011744966442953,27.45438748913988,16.76802780191138,288.512,60.39040000000001,7.249216300940439
34005703104,2010,5.118,1.758,86.89006466784245,3.242320819112628,21.942164908167253,5.3927315357561545,2.838283828382838,1.5841584158415842,337.90400000000005,102.56512000000001,7.410046312789455
34005703201,2010,3.687,1.493,89.4401133947555,5.492297387809779,7.295904529427719,2.6037428803905613,8.17790530846485,5.5954088952654235,374.30400000000003,82.48576000000001,2.015574896930829
34005703202,2010,2.665,0.975,90.21505376344085,4.615384615384616,5.553470919324578,3.377110694183865,19.45337620578778,5.94855305466238,452.59200000000004,101.78224,3.689064558629776
34005703203,2010,4.112,2.556,93.97089397089398,5.907668231611893,3.8667315175097277,0.9484435797665369,10.15625,10.15625,193.64800000000002,39.95600000000001,5.303030303030303
34005703600,2010,6.946,2.444,93.4709351305813,2.8641571194762685,4.203858335732796,2.764180823495537,3.896103896103896,0.4329004329004329,378.22400000000005,113.17936000000002,5.687668546212307
34005703700,2010,6.493,2.228,95.80451821115722,2.6481149012567324,3.1418450639149853,2.2947789927614353,6.33879781420765,1.5846994535519126,406.33600000000007,116.55056000000002,4.7411285631180915
34005703801,2010,6.998,2.637,83.78921962992759,5.726204019719378,5.8016576164618465,2.6293226636181766,1.4508928571428572,0.8928571428571428,482.1600000000001,127.52096,2.5823686553873553
34005703802,2010,3.894,1.755,62.33925290875689,6.951566951566951,8.50025680534155,3.980482794042116,7.065868263473053,3.952095808383234,384.7200000000001,90.73568,2.6347305389221556
34005703803,2010,4.897,1.796,95.79067121729238,2.1158129175946545,3.7778231570349194,2.61384521135389,7.72626931567329,2.2810890360559237,385.61600000000004,111.44784000000001,8.02732707087959
34005703804,2010,7.244,2.464,96.08333333333333,2.5974025974025974,5.314743235781337,1.8360022087244618,1.910828025477707,0,487.42400000000004,152.46,2.697887503181471
34005703900,2010,4.146,1.543,94.26837491571139,3.888528839922229,2.677279305354559,1.688374336710082,12.103505843071787,7.846410684474124,364.44800000000004,113.21632000000001,4.090685066535239
34005704004,2010,3.701,1.787,53.14769975786925,7.554560716284275,18.265333693596325,6.21453661172656,22.194199243379572,11.979823455233293,282.128,82.97072,2.628232301822806
34005704005,2010,3.757,1.575,76.18421052631578,3.492063492063492,13.707745541655575,3.2472717593824862,2.4752475247524752,2.4752475247524752,310.0160000000001,88.32768,4.462972045120157
34005704006,2010,2.228,0.948,86.09271523178808,4.430379746835443,24.416517055655294,4.937163375224417,42.95900178253119,0,323.2320000000001,109.10704000000001,4.282655246252676
34005704007,2010,3.722,1.463,69.99287241625089,4.101161995898838,6.528747984954325,3.1166039763567976,8.946078431372548,1.4705882352941175,277.648,77.2688,6.22524052065648
34005704008,2010,5.283,2.058,71.95928753180661,4.518950437317784,8.442173007760742,2.233579405640734,9.866102889358704,0,389.0880000000001,92.24432,3.3680555555555554
34005704009,2010,4.569,2.003,55.096706743335076,4.493260109835248,15.56139198949442,3.8739330269205516,4.863481228668942,0.938566552901024,348.88000000000005,83.87232,6.3862332695984705
34005704011,2010,3.137,1.063,96.61181026137464,2.8222013170272815,6.216130060567421,1.7213898629263629,8.662420382165605,0,404.7680000000001,128.14704,7.011494252873564
34005704012,2010,5.888,2.658,87.49516066589237,2.8216704288939054,8.967391304347826,3.549592391304348,13.695090439276486,11.369509043927648,271.376,92.42688000000001,4.544253632760898
34005704013,2010,5.398,1.776,97.0217640320733,1.6891891891891893,13.57910337161912,3.3345683586513526,1.9815059445178336,0,353.47200000000004,116.93136000000001,4.580152671755725
34005704014,2010,7.855,2.972,86.40910658847879,2.456258411843876,17.033736473583705,2.877148313176321,2.4142926122646067,0,426.7200000000001,136.16848000000002,5.057415098949425
34005704200,2010,8.183,2.917,85.97173144876325,2.9825162838532737,29.683490162532078,5.768055725284126,5.577492596248766,1.2339585389930898,358.6240000000001,98.8344,5.263157894736842
34005704302,2010,4.616,1.578,94.41891004596191,3.4854245880861847,22.357019064124785,4.70103986135182,2.059732234809475,0,502.65600000000006,126.70000000000002,5.453563714902808
34005704500,2010,5.48,2.287,70.0230946882217,5.334499344118933,17.956204379562042,10.693430656934307,24.54183266932271,4.382470119521913,353.6960000000001,80.58400000000002,7.158962795941376
34005704600,2010,3.162,1.238,63.29479768786127,16.15508885298869,47.43833017077799,17.99493991144845,40.72790294627383,6.065857885615252,201.93600000000004,54.141920000000006,8.999328408327736
34005704700,2010,3.918,1.365,82.93460925039872,8.131868131868131,6.789178152118428,4.925982644206227,26.61290322580645,11.559139784946236,310.68800000000005,79.10000000000001,5.277454404346138
34005704801,2010,3.122,0.887,27.32919254658385,9.244644870349493,35.2017937219731,14.894298526585523,37.5,8.791208791208792,342.27200000000005,91.87472000000001,5.888538380651945
34005704802,2010,5.318,0.267,0.904977375565611,17.228464419475657,50.319669048514484,23.730725836780746,0,0,NA,108.12928000000001,0
34005981802,2010,3.083,0.023,93.75,30.434782608695656,81.44664288031139,25.624391826143366,NaN,NaN,420.00000000000006,182.00000000000003,0
34005982111,2010,0.823,0.144,1.4925373134328357,6.944444444444445,28.918590522478738,10.571081409477522,43.06930693069307,0,190.40000000000003,54.999840000000006,14.206642066420663
34007600200,2010,2.131,0.972,41.64305949008499,27.36625514403292,86.90755513843266,39.32426091037072,61.45038167938931,56.10687022900763,68.768,46.410560000000004,20.049099836333877
34007600400,2010,3.237,1.425,34.92682926829268,28.07017543859649,83.93574297188755,46.833487797343224,95.75518262586377,82.42843040473839,78.40000000000002,18.538240000000002,30.514096185737976
34007600700,2010,1.475,0.531,42.64705882352941,10.357815442561206,76,68.88135593220339,17.63157894736842,14.210526315789473,103.82400000000001,46.01296000000001,32.115677321156774
34007600800,2010,5.053,1.94,25.643961076130513,9.948453608247423,81.95131604987137,66.8117949732832,72.82051282051282,36.83760683760684,95.08800000000001,18.57072,30.89133089133089
34007600900,2010,4.456,1.392,28.098537336412626,6.68103448275862,78.36624775583483,71.49910233393177,84.75750577367207,61.20092378752887,113.90400000000001,20.860000000000003,18.574108818011258
34007601000,2010,5.624,1.83,54.64907018596281,8.90710382513661,71.71052631578947,74.51991465149361,59.786239144956575,16.90046760187041,109.42400000000002,45.42832000000001,10.593569661995053
34007601101,2010,3.268,0.955,41.31944444444444,9.528795811518325,79.92656058751531,69.67564259485924,75.64377682403433,47.21030042918455,94.97600000000001,41.820800000000006,15.121722846441948
34007601102,2010,5.567,1.732,45.703839122486286,5.254041570438799,80.33051913059099,60.24788934794324,81.0048176187199,51.20440467997247,121.63200000000002,33.756800000000005,20.251716247139587
34007601200,2010,6.66,2.112,54.8989898989899,6.25,77.83783783783784,54.309309309309306,70.24442082890542,29.543039319872477,109.20000000000002,40.061280000000004,16.111467008327995
34007601300,2010,5.184,1.873,35.19098309329994,14.735718099305926,82.23379629629629,57.330246913580254,91.28205128205128,76.02564102564102,89.48800000000001,29.20624,16.340933767643865
34007601400,2010,4.494,1.815,55.62130177514793,16.198347107438018,96.5954606141522,13.684913217623498,61.5505090054816,28.660924040720438,97.77600000000001,40.93488000000001,14.7
34007601500,2010,6.058,2.589,31.057062675397567,17.419853225183466,91.02013865962364,30.22449653350941,89.61201501877348,67.95994993742178,99.45600000000002,28.820960000000003,18.1376215407629
34007601600,2010,2.316,0.936,35.125,14.529914529914532,93.09153713298791,22.452504317789295,93.54430379746836,28.10126582278481,74.48,28.295680000000004,23.044096728307252
34007601700,2010,2.951,1.303,13.807890222984561,10.514198004604758,87.46187732971875,34.191799390037275,93.91025641025641,83.86752136752136,69.776,10.78672,33.378932968536255
34007601800,2010,1.291,0.608,47.19626168224299,29.605263157894733,84.81797056545314,36.40588690937258,77.80082987551867,59.54356846473029,62.16000000000001,30.02272,26.443202979515828
34007601900,2010,2.879,1.1,37.53753753753754,9.181818181818182,93.36575199722125,29.663077457450505,95.15885022692889,77.15582450832072,87.92000000000002,16.63984,40.76782449725777
34007602000,2010,6.799,2.565,46.948775055679285,12.475633528265107,82.30622150316222,33.18135019855861,68.76355748373102,44.39624005784527,99.79200000000002,36.31152,17.522262964903092
34007602503,2010,2.567,0.872,85.01199040767386,4.3577981651376145,77.87300350603817,35.60576548500195,30.79777365491651,25.41743970315399,178.19200000000004,55.45120000000001,7.773109243697479
34007602601,2010,2.684,0.966,88.6853448275862,3.9337474120082816,47.354694485842025,22.019374068554395,20.85661080074488,3.7243947858473,243.04000000000002,85.17936000000002,6.353919239904989
34007602602,2010,2.883,1.039,72.84569138276554,3.946102021174206,62.7471383975026,30.003468609087758,56.19735258724429,9.025270758122744,228.25600000000003,55.01328000000001,10.69735951252539
34007602901,2010,4.806,1.963,88.74066168623266,4.533876719307183,28.277153558052436,12.234706616729088,11.322549952426261,7.9923882017126555,250.88000000000002,81.86976000000001,8.341708542713567
34007602902,2010,3.22,1.259,70.27687296416939,2.4622716441620334,38.29192546583851,20.403726708074537,30.562659846547312,20.20460358056266,231.72800000000004,58.23552,8.464125560538116
34007603001,2010,3.726,1.385,85,4.693140794223827,27.536231884057973,15.351583467525495,17.01298701298701,0,244.27200000000002,76.01440000000001,8.171206225680933
34007603002,2010,5.012,1.581,77.99202127659575,4.870335230866541,68.71508379888269,40.30327214684757,43.04897314375987,1.6587677725118484,160.60800000000003,53.491200000000006,16.3558106169297
34007603100,2010,3.821,1.688,61.054637865311314,6.753554502369669,23.42318764721277,11.619994765768125,40.57971014492754,19.32367149758454,272.16,69.84096000000001,11.367050575863797
34007603200,2010,7.055,3.073,66.89117334278625,8.200455580865604,25.8681785967399,11.282778171509568,4.99627143922446,2.013422818791946,264.208,77.16576,7.674552798615118
34007603301,2010,5.66,2.476,59.086879432624116,8.88529886914378,31.837455830388695,8.180212014134277,29.139685476410733,8.048103607770583,310.68800000000005,68.99984,6.311413454270596
