geoid,pop,hu,own,mhv,vhu,rm,em,pov199,pov99,mhi,unemp,year
42101007900,4.621,2.274,37.463697967086155,431,9.146877748460861,48.60419822549232,8.39645098463536,25.508982035928145,10.179640718562874,53.7,5.6426332288401255,2017
42101008500,7.051,3.245,46.231721034870645,99,17.81201848998459,93.4193731385619,3.091760034037725,83.95989974937343,51.31578947368421,30.62,13.485851896447922,2017
42101009600,4.673,2.115,45.25939177101968,72.5,20.70921985815603,98.58763107211641,3.2099293815536054,87.7742946708464,38.97596656217346,26.412,11.89710610932476,2017
42101011800,6.156,2.465,73.0971128608924,128.8,7.261663286004056,98.26185834957765,2.42040285899935,44.924154025670944,17.386231038506416,38.254,6.598793363499246,2017
42101011900,4.661,2.568,55.35545023696683,114.8,17.834890965732086,98.77708646213259,0.15018236429950654,64.88794023479188,33.72465314834579,28.036,11.277806518365235,2017
42101013900,2.603,1.316,16.154521510096576,278.8,13.449848024316111,77.4106799846331,8.336534767575873,67.56756756756756,60.70686070686071,15.028,9.482758620689655,2017
42101014700,3.055,1.358,19.424460431654676,188.6,28.350515463917525,69.72176759410802,4.811783960720131,88.24476650563608,73.42995169082126,12.662,7.124895222129086,2017
42101015600,1.924,0.711,39.424703891708965,141.9,16.877637130801688,69.38669438669439,70.27027027027027,83.69963369963371,52.01465201465202,21.875,14.965986394557824,2017
42101016300,3.667,1.307,32.12435233160622,93.6,11.400153022188217,56.5039541859831,79.43823288791928,76.63096397273613,59.29892891918208,13.967,13.465160075329566,2017
42101017800,5.728,2.499,37.2617853560682,50.4,20.208083233293316,53.107541899441344,47.69553072625698,85.11873350923483,69.12928759894459,17.014,23.37725719863348,2017
42101019700,7.057,2.398,45.56962025316456,66.9,7.756463719766472,75.03188323650276,55.632705115488164,82.14443952148869,52.37040319007532,18.763,29.0879871434311,2017
42101020000,1.278,0.775,25.32347504621072,68.9,30.193548387096776,89.67136150234741,7.589984350547731,77.92207792207793,62.33766233766234,19.943,18.476190476190478,2017
42101010800,4.208,2.04,42.23397224058162,89.9,25.833333333333336,93.06083650190115,1.0693916349809884,87.65201122544434,54.630495790458376,22.701,14.233576642335766,2017
42101014500,1.771,0.695,36.30573248407643,150.8,9.640287769784173,87.01298701298701,24.618859401468097,83.92226148409894,48.93992932862191,18.438,15.82608695652174,2017
42101016500,2.951,1.339,28.29845313921747,54.8,17.923823749066468,84.9203659776347,31.650288037953235,98.75706214689266,74.80225988700565,9.945,23.641304347826086,2017
42101023600,2.356,1.229,54.39252336448598,390.2,12.937347436940602,43.54838709677419,2.67402376910017,12.371134020618557,9.621993127147768,67.759,6.621961441743504,2017
42101023900,1.282,1.317,23.270440251572328,205.6,27.5626423690205,60.9984399375975,8.892355694227769,33.33333333333333,33.33333333333333,21.667,5.098039215686274,2017
42101024200,3.27,2.101,37.69230769230769,111.9,19.562113279390765,90.06116207951071,3.547400611620795,56.16883116883117,44.31818181818182,22.738,9.10828025477707,2017
42101024500,3.665,1.923,37.00636942675159,92.5,18.356734269370776,90.15006821282401,1.5825375170532059,84.4671201814059,81.63265306122449,15.5,19.62158374211633,2017
42101025400,4.584,2.121,66.39839034205231,197.7,6.270627062706271,88.98342059336824,1.0471204188481675,12.51646903820817,1.4492753623188406,52.908,5.62444641275465,2017
42101026000,3.009,1.323,69.6101829753381,161.6,4.988662131519274,94.51645064805582,6.214689265536723,48.209366391184574,15.426997245179063,45.766,20.37735849056604,2017
42101026302,6.028,2.228,78.15750371471026,142.3,9.380610412926393,98.30789648307896,0.7465162574651626,55.053191489361694,20.833333333333336,43.212,16.666666666666664,2017
42101026400,5.521,2.392,89.7025171624714,152.6,8.653846153846153,98.42419851476181,3.205940952725955,49.326424870466326,5.284974093264249,39.653,16.175972927241965,2017
42101027100,2.79,0.961,72.63736263736263,147,5.30697190426639,92.93906810035843,7.921146953405018,51.3317191283293,11.380145278450362,46.833,18.14946619217082,2017
42101027800,4.591,2.277,50.78451882845189,118,16.02986385595081,94.14071008494881,6.055325637116097,53.686036426712924,38.3347788378144,32.44,18.49281110560238,2017
42101028200,5.072,2.3,46.801505174035746,98.2,7.565217391304348,91.36435331230284,4.3769716088328074,76.13458528951486,41.158059467918626,27.971,13.451086956521738,2017
42045407806,1.632,0.644,93.10897435897436,262.6,3.1055900621118013,21.139705882352942,5.330882352941177,8.670520231213873,0,84.808,1.5690376569037656,2017
42045409300,2.488,0.926,86.5909090909091,284.9,4.967602591792657,6.069131832797427,1.2057877813504823,12.252252252252251,1.2612612612612613,87.813,7.525325615050652,2017
42045408001,6.283,2.337,96.82259488084732,366.6,3.0380830124090714,11.523157727200383,4.201814419863123,23.208469055374593,14.73941368078176,97.9,2.231301068510371,2017
42045408101,5.473,1.798,85.73853989813243,344.6,1.7241379310344827,13.192033619587063,1.717522382605518,11.225540679711637,2.059732234809475,96.513,3.9985590778097984,2017
42045408400,1.748,0.889,59.205776173285194,546.1,6.524184476940382,4.633867276887872,0.34324942791762014,0,0,136.625,7.800312012480499,2017
42045408800,5.053,2.146,77.08947885939035,289.4,5.21901211556384,16.56441717791411,1.9196516920641202,7.7945084145261285,3.8086802480070863,87.813,5.099628503883824,2017
42045408900,3.008,1.093,89.3953488372093,353,1.646843549862763,10.571808510638297,0,0,0,106.701,6.773162939297124,2017
42045409602,4.628,1.637,44.224422442244226,324.6,7.452657299938912,22.14779602420052,7.087294727744166,21.50943396226415,15.471698113207546,51.48,5.349544072948328,2017
42045409701,7.209,1.996,92.06602768903089,721.5,5.911823647294589,16.063254265501456,3.218199472881121,11.303744798890431,8.807212205270458,180.313,8.584939978173882,2017
42045409803,6.885,2.938,61.97440585009141,546.4,6.909462219196732,14.945533769063179,4.270152505446624,18.554354012521344,7.171314741035857,104.849,4.615384615384616,2017
42045410100,7.716,2.346,94.51166810717373,511.5,1.3640238704177323,18.973561430793158,1.4774494556765163,12.27526348419095,1.921884686918785,140.094,2.658064516129032,2017
42045410200,3.725,1.489,89.92562542258283,491.4,0.6715916722632639,20.29530201342282,4.10738255033557,4.03899721448468,2.0891364902506964,123.35,5.173210161662817,2017
42045400500,4.377,1.66,48.2879105520615,109.4,13.795180722891567,75.23417866118346,5.871601553575508,52.338923212709624,28.067078552515447,48.75,6.676272814601345,2017
42045400802,3.69,1.383,71.08626198083067,183.9,9.472161966738973,39.4579945799458,6.802168021680218,19.253910950661854,12.033694344163658,64.25,9.138755980861243,2017
42045401101,3.127,1.246,77.15030408340573,127.8,7.624398073836276,23.409018228333867,8.922289734569876,22.8,12.133333333333333,75.15,7.6074972436604185,2017
42045401302,2.727,1.236,71.39061116031885,169.2,8.656957928802589,19.58195819581958,3.08030803080308,36.84210526315789,12.955465587044534,61.531,6.054931335830212,2017
42045400402,4.55,1.944,42.34604105571847,86.1,12.294238683127572,84.72527472527473,4.153846153846154,70.45801526717558,32.36641221374046,35.387,4.934687953555878,2017
42045400801,2.312,1.45,11.961722488038278,123.5,27.93103448275862,92.04152249134948,3.027681660899654,76.66666666666667,15.333333333333332,34.801,8.260233918128655,2017
42045401104,5.034,1.693,67.7195198989261,172.4,6.497341996455995,23.023440603893526,6.416368692888359,22.886421861656704,7.002561912894961,78.364,4.376130198915009,2017
42045401301,2.425,1.229,1.8783542039355994,NA,9.03173311635476,51.092783505154635,7.010309278350515,33.666666666666664,23.333333333333332,54.348,1.2345679012345678,2017
42045402600,3.834,1.118,52.51004016064257,77.5,10.912343470483005,72.76995305164318,4.694835680751173,59.07723169508525,24.57372116349047,44.207,7.46177370030581,2017
42045409000,3.654,1.38,92.94294294294293,287.8,3.4782608695652173,16.58456486042693,0.7662835249042145,11.614401858304298,1.0452961672473868,85.172,4.9062049062049065,2017
42045409902,5.144,2.318,67.5990675990676,388.8,7.463330457290768,14.074650077760499,0.9720062208398134,31.69164882226981,2.462526766595289,77.352,4.6562228024369015,2017
42045409904,3.572,1.372,95.55895865237366,613.9,4.810495626822157,3.2754759238521833,1.4837625979843225,7.07482993197279,7.07482993197279,153.393,6.919642857142858,2017
42045407101,4.231,1.706,77.02205882352942,369.1,4.337631887456038,11.533916331836446,3.92342235878043,8.626974483596598,4.131227217496963,106,4.814004376367615,2017
42045406401,2.881,1.043,57.0264765784114,91.5,5.848513902205178,85.17875737591115,3.1933356473446723,71.29251700680273,40.816326530612244,44,11.260623229461757,2017
42045406903,5.221,1.993,85.9862506610259,283.9,5.117912694430507,2.3750239417736068,0,6.293706293706294,0,82.971,3.1053848695077635,2017
42045407000,2.596,1.08,68.26923076923077,246.5,3.7037037037037033,8.975346687211093,1.9645608628659477,7.142857142857142,6.203007518796992,85.081,4.146170063246662,2017
42045402800,5.711,2.339,77.50115260488705,123.6,7.268063274903805,77.00928033619331,3.3619331115391353,52.551477170993735,26.589077887197853,52.74,3.9857420609202854,2017
42045405400,2.162,1.154,34.140969162995596,46,21.317157712305026,83.25624421831638,3.700277520814061,69.02834008097166,51.61943319838057,30,9.307359307359308,2017
42045408700,4.814,1.845,86.66278392545136,343.7,6.937669376693767,9.202326547569589,1.7656834233485668,1.9909502262443437,0.9954751131221719,117.889,2.8383523710626513,2017
42045409903,4.043,1.59,82.23684210526315,322.2,4.40251572327044,6.257729408854811,3.3638387336136533,10.408560311284047,0,82.25,4.0358744394618835,2017
42045410301,7.97,2.189,83.06188925081433,453.5,1.827318410232983,21.63111668757842,2.5094102885821834,12.331838565022421,0.8221225710014948,104.509,3.33117723156533,2017
42045400302,3.556,1.494,58.59872611464968,84.6,15.930388219544847,82.48031496062993,3.487064116985377,67.03539823008849,26.548672566371685,48.314,12.849162011173185,2017
42045400301,6.078,2.653,34.98301795245027,69.7,22.314361100640784,88.18690358670615,9.772951628825272,61.304909560723516,21.57622739018088,32.635,10.931034482758621,2017
42045400700,6.055,1.844,69.72369194591417,147.7,7.754880694143167,59.04211395540875,11.412056151940545,42.857142857142854,9.924812030075188,61.463,7.733417164413707,2017
42045401000,1.843,0.759,61.78247734138973,256.1,12.779973649538867,14.650027129679868,0.4340748779164406,10.362694300518134,5.699481865284974,85,6.160337552742616,2017
42045401501,3.562,1.402,89.63460104399702,144.2,4.3509272467903,6.878158338012352,3.902302077484559,16.16499442586399,6.131549609810479,68.917,3.991811668372569,2017
42045402500,3.44,1.388,44.43478260869565,66.7,17.146974063400577,95.02906976744187,1.308139534883721,73.23943661971832,41.9284940411701,35.077,11.11111111111111,2017
42045403002,2.796,1.205,73.83928571428572,119.5,7.053941908713693,13.662374821173104,0.3218884120171674,32.32142857142858,28.749999999999996,55,14.205955334987594,2017
42045402100,5.839,2.247,75.54502369668246,136,6.097018246550957,94.04007535536907,1.8667580065079636,61.29032258064516,27.342549923195087,57.188,7.863456263334349,2017
42045402300,3.416,1.568,28.82065596650384,146.4,8.60969387755102,98.47775175644028,2.810304449648712,43.944636678200695,4.325259515570934,39.859,10.341314314824249,2017
42045403602,1.778,0.671,93.48534201954396,159.2,8.49478390461997,16.985376827896513,2.249718785151856,14.492753623188406,4.710144927536232,85.156,5.635062611806798,2017
42045404101,6.044,2.692,70.04335829720142,222.4,5.757800891530461,8.43812045003309,3.027796161482462,17.898486197684775,8.54853072128228,73.668,3.5464803868887693,2017
42045404600,2.119,1.01,52.67857142857143,111.8,22.37623762376238,78.85795186408683,9.013685700802265,53.800000000000004,30.2,53.587,11.801801801801801,2017
42045404700,3.786,1.066,17.326203208556148,90.2,12.288930581613508,45.351294241944004,5.414685684099313,84.21052631578947,52.19298245614035,27.168,16.818558409279206,2017
42045407201,4.812,2.224,69.87888362295945,431.6,14.613309352517986,3.99002493765586,5.278470490440565,11.43827859569649,10.419026047565119,86.343,9.561940650023551,2017
42045407901,3.921,1.367,97.58595464520849,526.6,0,10.992093853608774,1.6832440703902065,1.7221584385763489,0,167.375,5.319148936170213,2017
42045408103,4.558,1.649,69.78193146417445,326.9,2.668283808368708,15.664765247915751,2.1939447125932423,15.668202764976957,11.29032258064516,76.399,5.577005577005576,2017
