County,year,hu,mhi,mhv,own,pov199,pov99,rm,em,unemp,vhu,pop
Montgomery,2010,1125.609,92.25268221883786,358.11816395410875,74.11410246807331,17.145421184152443,6.164401061792797,18.859595386273337,4.279799068353266,5.301443463284836,5.270420848445374,799.874
Montgomery,2017,1149.777,91.26026519687397,319.5068672970715,72.94762607899764,17.96315871427163,6.846136446504329,20.126741071264977,4.8823895138131395,5.163339560524013,5.194336257382032,818.677
Philadelphia,1990,2254.74679,45.55907977389704,106.91251307666302,63.33505987390844,39.851455724925536,20.453856931367987,46.54902948358276,5.621699201240728,10.684206682059285,10.180575436962028,1580.50579
Philadelphia,2000,2179.04572,44.40416845170474,96.33429620404141,60.10951215501198,43.25231446681612,22.984007393204077,54.975860302894745,8.496091682831269,11.83874867352208,10.505033167919768,1517.46306
Philadelphia,2010,2196.094,42.18007179915149,172.80756518807135,54.68013700263876,52.834287942692455,30.13596998532135,58.96339984927422,12.294242930633377,13.341989061935392,10.133215891429987,1525.95
Philadelphia,2017,2249.533,43.05934672242922,172.17326911727454,52.703593953665255,55.118336961212265,31.237597379777124,58.44926630467676,14.129010350668969,12.281465430122601,12.4101838008237,1569.657
Region,1990,7205.63898,69.44644205578129,206.68699701937433,70.62889398031801,23.135240149821946,10.323417466331867,23.53740324345106,3.724244906742529,6.344958241884029,6.277678527205572,5175.5054
Region,2000,7539.98574,74.69598257491958,187.27112092613712,70.72513936775363,24.021251848197082,11.101057015455632,28.185385637067125,5.379836897418692,6.838826151105572,6.106713443972292,5385.4231
Region,2010,7914.951999999999,75.59565717671725,290.38332547912114,68.93282338759755,29.515363710269536,14.521866904679555,32.48769476218171,8.32631163264809,8.625615372701517,6.7540608619966145,5624.231
Region,2017,8039.447,74.6009166920852,255.51901552626902,67.49793962703464,31.756954065666296,15.791007644583512,33.213053538356476,9.568427069828166,7.9692012318342424,8.299401189455455,5716.948
