"V1","V2"
-848.098083066974,122
-822.113871312085,123
-869.858481752915,122
-859.858744903565,122
-840.996554981208,122
-822.998913606205,122
-823.889376518461,122
-808.411657065558,122
-864.512711490117,122
-748.537288644613,122
-826.810238342766,122
-790.54052400601,122
-742.019089099467,122
-696.092357361865,122
-852.772518768259,122
-811.153899764102,122
-885.837411530196,122
-857.775967456434,122
-776.751899173102,123
-790.099764819771,122
-875.357514032136,122
-808.129703817463,122
-782.886911850395,122
-813.206883272949,122
-820.437552108688,122
-797.854823554743,122
-974.46159061042,121
-845.638250792438,123
-725.239401125647,122
-932.362756536549,122
-781.953939184241,122
-776.678713786413,123
-854.782957068441,122
-732.292044820178,122
-762.912468168298,122
-819.406991768631,122
-734.21784573542,51
-757.818161532311,122
-831.567214728954,122
-927.7357434043,122
-785.380473001935,122
-837.391753075643,122
-830.138816964231,122
-787.539837704667,122
-866.135579924352,122
-748.461915855126,122
-826.404369703854,122
-899.957636191067,121
-872.935864823725,122
-832.226168176835,123
-813.088553173374,122
-788.904386092012,122
-874.789435545,122
-872.796115850536,122
-767.045552715706,122
-821.99000722792,122
-933.01036013276,121
-828.693963362552,122
-793.257728713008,122
-864.07338344741,122
-794.626187369084,122
-823.060543404882,122
-852.377726846049,122
-838.347309695219,122
-790.571138864545,122
-764.633303144204,123
-801.121992431673,121
-897.321584293339,122
-792.996722861949,122
-737.946620550695,122
-859.28372153236,121
-989.935402127308,123
-788.767192887646,122
-846.551388012532,122
-847.913714864741,122
-792.981045337773,122
-874.004285403141,123
-789.455262873787,51
-858.588358127679,122
-786.499099673857,123
-846.632069844458,122
-793.617836835913,121
-817.027818283849,122
-772.911624377524,121
-829.240211212802,122
-799.078623807186,122
-850.477035241898,121
-813.170881052642,122
-853.966139332532,122
-795.756745539183,122
-842.081444684606,122
-751.731368120218,122
-783.171814071267,122
-770.30881649686,122
-781.982840468736,122
-776.97738912983,122
-866.672313219458,122
-786.492512832911,122
-863.686762733302,122
-853.539204644722,121
-824.031970349708,122
-822.166186827384,122
-788.221197457959,122
-820.675259226032,122
-781.358355143864,122
-807.125811318689,122
-802.048046534782,122
-884.304627820688,122
-852.234482633509,122
-821.986368217189,122
-784.017694257735,122
-920.62122336639,122
-785.52125263746,122
-740.651290996316,122
-782.725204851251,122
-833.562119030943,87
-914.894428420853,123
-807.634522883867,122
-907.696734538741,122
-816.616936218178,121
-903.797849196647,122
-842.673072990929,122
-857.245991774672,123
-864.312125549281,122
-811.952568503638,122
-758.379077951266,122
-862.492557216833,122
-819.506563562075,122
-760.429763174342,123
-868.257769861484,122
-759.267339328724,122
-829.476035029597,122
-883.190257544308,122
-798.084861685689,123
-804.442541554053,52
-855.72597097738,51
-891.342097480393,122
-889.255461026761,122
-793.16095204443,122
-770.172042755674,122
-811.600469912799,123
-817.843317817993,122
-891.290709190246,122
-837.996464078841,122
-800.966470157541,122
-877.767337352883,122
-763.263889607385,122
-809.099866713551,121
-851.959796582194,122
-862.922614489053,122
-769.258839242562,122
-846.132332593289,122
-755.087471951354,122
-773.118437642718,122
-789.549145109728,122
-871.742300704968,123
-753.409009002085,122
-810.181253893774,122
-779.338276363592,122
-895.764651287602,122
-795.432686200785,122
-816.606617246451,121
-777.36764644249,122
-836.684822098343,122
-773.198004857208,122
-716.513609135724,122
-837.38840261585,122
-879.430753552642,122
-843.878637836049,122
-796.236141058882,121
-910.840551019663,122
-744.269128785777,122
-803.451735647807,51
-847.508437768687,122
-750.741061756326,122
-837.804797947875,122
-899.636423814867,122
-881.199661967671,123
-786.667612854896,122
-857.214247429758,123
-801.551905965383,124
-898.938071237875,122
-817.073491619974,121
-803.449564589001,122
-714.372002461162,122
-792.21633424162,122
-753.314790337447,122
-696.148509096902,122
-797.597271518821,122
-892.000143862991,122
-776.154897625132,122
-792.683092552745,50
-877.190325018755,122
-808.872547402882,122
-772.831002388049,122
-795.891781855695,122
-829.001126225537,122
-769.160061542995,122
-850.035119265727,122
-776.474539712966,122
-773.891784100171,50
-883.576254356524,121
-744.689561083208,122
-737.083424360777,122
-843.66941965821,122
-835.174498778724,122
-798.971923331089,122
-775.243573926829,122
-832.88996754917,123
-914.874576515899,122
-744.762578684864,122
-842.575988012096,122
-805.410043893304,122
-848.985218089886,122
-788.302681843153,122
-847.299175915506,122
-802.073010204625,122
-787.779759192456,122
-783.546632065408,121
-797.466549521812,122
-845.062588295496,122
-869.124590778516,122
-812.342223756982,122
-861.415575825309,121
-896.005655053707,122
-816.713443550287,121
-873.65532937678,122
-821.557493205787,122
-827.292732344242,122
-829.130937199363,123
-907.974379235395,122
-902.759981478021,122
-771.329623261306,122
-765.943384224646,122
-827.441950964674,123
-858.73647934612,122
-796.501184612289,122
-847.925081904143,122
-775.741357698153,121
-710.873640511405,121
-817.640277331891,122
-860.391015202936,122
-709.227359917147,122
-713.900486566142,122
-770.351539909675,122
-839.038632194826,123
-807.055690147243,52
-862.970848060412,122
-856.085483986363,123
-825.876432657416,122
-772.249573869515,122
-777.742422013354,122
-872.648883290079,122
-880.003529744809,122
-806.773373802862,122
-849.639553078289,122
-701.845456165521,121
-701.850300086806,122
-752.331345603339,122
-740.374026686801,122
-851.510370013618,122
-784.499863287439,122
-878.824869700113,122
-841.767255669685,122
-789.151148213854,122
-871.503746783163,122
-864.277721707439,122
-839.11557016474,122
-785.853620816527,122
-827.628750345051,122
-810.527554660579,122
-787.822206827491,52
-789.025967229263,122
