"GEOID","tot200_a","univ_a","tot199_a","li_a","hi_a"
"34007603302",5833,6460,627,0.0970588235294118,0.902941176470588
"34007603303",2040,2562,522,0.203747072599532,0.796252927400468
"34007603400",6809,7356,547,0.0743610657966286,0.925638934203371
"34007603501",4385,4691,306,0.0652312939671712,0.934768706032829
"34007603502",11893,12538,645,0.0514436114212793,0.948556388578721
"34007603503",5318,5497,179,0.0325632162997999,0.9674367837002
"34007603504",2596,2764,168,0.060781476121563,0.939218523878437
"34007603505",3152,3414,262,0.0767428236672525,0.923257176332748
"34007603601",3443,3679,236,0.0641478662680076,0.935852133731992
"34007603602",2593,2723,130,0.0477414616232097,0.95225853837679
"34007603603",2252,2377,125,0.0525872949095499,0.94741270509045
"34007603700",3047,3544,497,0.140237020316027,0.859762979683973
"34007603800",4646,5191,545,0.104989404738971,0.895010595261029
"34007603901",4303,5096,793,0.155612244897959,0.844387755102041
"34007603902",2435,2856,421,0.147408963585434,0.852591036414566
"34007604000",1429,1672,243,0.145334928229665,0.854665071770335
"34007604100",1646,2522,876,0.347343378271213,0.652656621728787
"34007604200",3024,3632,608,0.167400881057269,0.832599118942731
"34007604300",3388,4017,629,0.156584515807817,0.843415484192183
"34007604400",3134,3458,324,0.0936957779063042,0.906304222093696
"34007604500",2716,4042,1326,0.328055418109847,0.671944581890153
"34007604600",1921,2277,356,0.156346069389548,0.843653930610452
"34007604700",1900,2147,247,0.115044247787611,0.884955752212389
"34007604800",884,1147,263,0.229293809938971,0.770706190061029
"34007604900",2462,3257,795,0.244089653054959,0.755910346945041
"34007605000",1761,2627,866,0.329653597259231,0.670346402740769
"34007605100",1984,2464,480,0.194805194805195,0.805194805194805
"34007605200",2226,3231,1005,0.311049210770659,0.688950789229341
"34007605300",1306,1581,275,0.173940543959519,0.826059456040481
"34007605400",2393,2762,369,0.133598841419261,0.866401158580739
"34007605500",1492,1755,263,0.14985754985755,0.85014245014245
"34007605601",1962,2288,326,0.142482517482517,0.857517482517482
"34007605602",2813,3049,236,0.0774024270252542,0.922597572974746
"34007605700",3247,3862,615,0.159243915069912,0.840756084930088
"34007605800",2755,3056,301,0.0984947643979058,0.901505235602094
"34007605900",2373,2828,455,0.160891089108911,0.839108910891089
"34007606000",1583,1963,380,0.193581253183902,0.806418746816098
"34007606100",2175,2274,99,0.0435356200527705,0.95646437994723
"34007606200",3647,3917,270,0.0689303038039316,0.931069696196068
"34007606300",1859,2135,276,0.129274004683841,0.870725995316159
"34007606400",3024,3174,150,0.0472589792060491,0.952741020793951
"34007606500",2195,2833,638,0.225202965054712,0.774797034945288
"34007606600",2222,2511,289,0.115093588211868,0.884906411788132
"34007606700",3530,4156,626,0.150625601539942,0.849374398460058
"34007606800",3472,4121,649,0.157486047075952,0.842513952924048
"34007606901",2657,3074,417,0.135653871177619,0.864346128822381
"34007606902",53,53,0,0,1
"34007607000",4351,5333,982,0.184136508531783,0.815863491468217
"34007607100",3445,4076,631,0.154808635917566,0.845191364082434
"34007607200",3765,5032,1267,0.251788553259142,0.748211446740858
"34007607300",3838,4842,1004,0.207352333746386,0.792647666253614
"34007607401",2644,3167,523,0.165140511525103,0.834859488474897
"34007607402",2001,2243,242,0.107891217119929,0.892108782880071
"34007607500",21485,23586,2101,0.0890782667684219,0.910921733231578
"34007607600",2090,2370,280,0.118143459915612,0.881856540084388
"34007607700",7544,9602,2058,0.214330347844199,0.785669652155801
"34007607800",7150,9047,1897,0.209682767768321,0.790317232231679
"34007607900",1834,2324,490,0.210843373493976,0.789156626506024
"34007608001",2748,3375,627,0.185777777777778,0.814222222222222
"34007608002",3737,4057,320,0.0788760167611536,0.921123983238846
"34007608100",744,1073,329,0.306616961789376,0.693383038210624
"34007608201",7524,8134,610,0.0749938529628719,0.925006147037128
"34007608202",4172,4582,410,0.0894805761676124,0.910519423832388
"34007608204",46,143,97,0.678321678321678,0.321678321678322
"34007608298",13178,15164,1986,0.130968082300185,0.869031917699815
"34007608301",6481,7668,1187,0.154799165362546,0.845200834637454
"34007608302",4070,5009,939,0.187462567378718,0.812537432621282
"34007608400",10891,12566,1675,0.133296196084673,0.866703803915327
"34007608500",7981,9809,1828,0.186359465796717,0.813640534203283
"34007608600",3916,5553,1637,0.29479560597875,0.70520439402125
"34007608700",4539,5643,1104,0.195640616693248,0.804359383306752
"34007608800",4341,5431,1090,0.20069968698214,0.79930031301786
"34007608901",4679,5504,825,0.149890988372093,0.850109011627907
"34007608903",3344,3733,389,0.104205732654701,0.895794267345299
"34007608904",1343,1508,165,0.109416445623342,0.890583554376658
"34007609000",1034,1508,474,0.314323607427056,0.685676392572944
"34007609101",7403,9193,1790,0.194713368867617,0.805286631132383
"34007609102",306,418,112,0.267942583732057,0.732057416267943
"34007609200",15256,19230,3974,0.20665626625065,0.79334373374935
"34007610100",0,18,18,1,0
"34007610200",808,1221,413,0.338247338247338,0.661752661752662
"34007610300",0,0,0,NA,NA
