"GEOID","tot200_b","univ_b","tot199_b","li_b","hi_b"
"34007606600",2002,2318,316,0.136324417601381,0.86367558239862
"34007606901",2292,2851,559,0.196071553840758,0.803928446159242
"34007606700",4176,4729,553,0.116938041869317,0.883061958130683
"34007607100",3314,3853,539,0.139890994030625,0.860109005969375
"34007608502",4252,5084,832,0.163650668764752,0.836349331235248
"34007608501",16,16,0,0,1
"34007603503",4362,4702,340,0.0723096554657593,0.927690344534241
"34007605700",3250,3713,463,0.124697010503636,0.875302989496364
"34007605800",2606,2945,339,0.115110356536503,0.884889643463497
"34007605602",2266,2907,641,0.220502235982112,0.779497764017888
"34007607502",4068,4409,341,0.0773418008618734,0.922658199138127
"34007606800",3366,3892,526,0.135149023638232,0.864850976361768
"34007606000",1650,1957,307,0.15687276443536,0.84312723556464
"34007604200",2721,3477,756,0.217428817946506,0.782571182053494
"34007608001",2747,3561,814,0.228587475428251,0.771412524571749
"34007605601",2198,2550,352,0.138039215686275,0.861960784313725
"34007604700",1577,1909,332,0.173913043478261,0.826086956521739
"34007604001",598,716,118,0.164804469273743,0.835195530726257
"34007607000",3523,4376,853,0.194926873857404,0.805073126142596
"34007605900",2500,2639,139,0.0526714664645699,0.94732853353543
"34007607200",3285,4647,1362,0.293092317624274,0.706907682375726
"34007608404",5099,6044,945,0.156353408338848,0.843646591661152
"34007605100",2131,2691,560,0.208101077666295,0.791898922333705
"34007604900",2023,2998,975,0.325216811207472,0.674783188792528
"34007608301",8138,9685,1547,0.159731543624161,0.840268456375839
"34007608800",4574,5290,716,0.135349716446125,0.864650283553875
"34007603902",2514,2925,411,0.140512820512821,0.859487179487179
"34007605000",1536,2363,827,0.349978840457046,0.650021159542954
"34007605500",1631,1960,329,0.167857142857143,0.832142857142857
"34007605200",1831,2305,474,0.205639913232104,0.794360086767896
"34007609201",3871,4404,533,0.12102633969119,0.87897366030881
"34007604100",1789,2785,996,0.357630161579892,0.642369838420108
"34007605300",1760,2338,578,0.247219846022241,0.752780153977759
"34007609103",4033,4773,740,0.155038759689922,0.844961240310077
"34007609104",3780,4367,587,0.134417220059537,0.865582779940463
"34007602000",2844,5905,3061,0.518374259102455,0.481625740897545
"34007603504",2525,2687,162,0.0602902865649423,0.939709713435058
"34007601700",508,2948,2440,0.827679782903664,0.172320217096336
"34007601900",1035,3317,2282,0.687971058185107,0.312028941814893
"34007604300",3143,3937,794,0.201676403352807,0.798323596647193
"34007609204",3249,4295,1046,0.243538998835856,0.756461001164144
"34007603505",3092,3490,398,0.114040114613181,0.885959885386819
"340214307",5412,5987,575,0.0960414230833472,0.903958576916653
"34007604002",721,937,216,0.230522945570971,0.769477054429029
"34007603700",2914,3396,482,0.141931684334511,0.858068315665489
"34007603507",5977,6727,750,0.111491006392151,0.888508993607849
"34007603301",4156,5083,927,0.182372614597679,0.817627385402321
"340212904",5482,5880,398,0.067687074829932,0.932312925170068
"340213301",7049,7391,342,0.0462724935732648,0.953727506426735
"340214306",3992,4078,86,0.0210887690044139,0.978911230995586
"340214407",5928,6917,989,0.142981061153679,0.857018938846321
"340214304",7264,7595,331,0.0435813034891376,0.956418696510862
"340214301",3864,4241,377,0.0888941287432209,0.911105871256779
"340212400",1,1,0,0,1
"34007607501",6283,7770,1487,0.191377091377091,0.808622908622909
"34007608503",2782,3981,1199,0.301180607887465,0.698819392112535
"34007609203",5454,5966,512,0.0858196446530339,0.914180355346966
"34007610200",584,1064,480,0.451127819548872,0.548872180451128
"34007603506",6171,6572,401,0.0610164333536214,0.938983566646379
"34007604600",1794,2253,459,0.203728362183755,0.796271637816245
"340212701",2924,3516,592,0.168373151308305,0.831626848691695
"340212200",3506,5892,2386,0.404955872369314,0.595044127630686
"340212100",2698,5577,2879,0.516227362381209,0.483772637618791
"340212000",318,1394,1076,0.771879483500717,0.228120516499283
"340211900",885,1849,964,0.521362898864251,0.478637101135749
"340211800",2214,3659,1445,0.394916643891774,0.605083356108226
"34007608401",3778,4271,493,0.115429641770077,0.884570358229923
"34007607802",2109,2725,616,0.22605504587156,0.77394495412844
"34007610100",27,27,0,0,1
"34007604500",2255,3449,1194,0.34618730066686,0.65381269933314
"34007603901",4209,4878,669,0.137146371463715,0.862853628536285
"34007600600",216,316,100,0.316455696202532,0.683544303797468
"34007602701",26,26,0,0,1
"34007608904",1259,1362,103,0.0756240822320118,0.924375917767988
"34007603100",3083,3801,718,0.188897658510918,0.811102341489082
"340211700",2226,4480,2254,0.503125,0.496875
